id_registro,temp_max_c,temp_min_c,temp_media_c,amplitud_termica_c,radiacion_solar_wm2,radiacion_uv_indice,horas_sol,humedad_pct,humedad_min_pct,viento_kmh,viento_max_kmh,direccion_viento_deg,presion_atm_hpa,no2_ugm3,no_ugm3,nox_ugm3,cov_precursores,co_mgm3,so2_ugm3,pm10_ugm3,o3_dia_previo_ugm3,o3_media_movil_3d,temp_dia_previo_c,gradiente_temp_c,altura_capa_mezcla_m,indice_estabilidad,precipitacion_mm,horas_desde_lluvia,alerta_ozono
OZN002524,31.8,17.7,24.8,14.1,775,8,11.5,39.0,21,11.2,29.0,298,1013,38,21,69.0,55.0,0.71,0.0,30.0,110,104,35.3,0.34,1628,3.8,1.8,78.0,0
OZN002525,23.5,11.6,17.6,11.9,497,4,9.0,66.0,45,11.8,27.0,147,1022,35,13,69.0,38.0,0.41,4.1,45.0,76,67,21.6,0.53,1163,-2.8,,69.0,0
OZN002526,29.9,12.2,21.0,17.7,465,6,10.5,60.0,31,11.2,35.0,85,1012,38,15,55.0,50.0,0.64,0.0,,76,83,26.4,0.73,1265,-3.2,6.1,68.0,0
OZN002527,33.2,15.9,24.6,,666,7,,34.0,33,,20.0,308,1012,14,4,,40.0,0.19,12.1,,65,57,34.7,0.44,1100,1.7,3.2,124.0,0
OZN002528,28.8,16.0,22.4,12.8,597,5,10.6,56.0,39,7.4,22.0,280,1011,52,31,107.0,64.0,0.91,3.5,25.0,86,90,29.6,0.89,1095,0.5,3.9,82.0,0
OZN002529,32.7,24.4,28.6,8.3,566,8,13.7,54.0,24,11.3,26.0,184,1018,26,12,,,0.38,9.2,26.0,98,103,36.9,0.66,1194,2.4,,132.0,0
OZN002530,24.1,13.5,18.8,10.6,602,6,9.7,57.0,34,15.4,31.0,8,1015,40,22,70.0,,0.62,4.4,41.0,82,79,20.9,0.5,1633,1.8,7.1,45.0,0
OZN002531,15.1,6.1,10.6,9.0,221,2,3.9,,62,19.8,51.0,246,1007,23,10,37.0,10.0,0.4,8.7,31.0,17,5,6.1,0.4,594,-0.5,9.4,7.0,0
OZN002532,25.3,10.2,17.8,15.1,408,3,,62.0,41,10.1,26.0,74,1010,24,8,38.0,12.0,0.17,6.4,32.0,39,13,20.8,0.5,993,-2.1,6.3,127.0,0
OZN002533,37.9,20.7,29.3,17.2,852,10,11.3,26.0,14,6.2,22.0,29,1016,36,10,59.0,,0.52,0.0,39.0,71,73,43.5,0.9,1466,2.1,0.0,110.0,0
OZN002534,21.8,11.4,16.6,10.4,512,5,6.3,63.0,43,17.6,44.0,270,1013,42,27,83.0,41.0,0.7,7.5,45.0,63,48,20.1,0.71,1561,-2.6,16.2,92.0,0
OZN002535,30.8,17.5,24.2,,614,7,9.9,43.0,24,12.7,41.0,262,1019,51,21,83.0,52.0,1.03,3.0,30.0,39,22,35.1,0.5,1214,1.0,1.2,95.0,0
OZN002536,20.8,7.3,14.0,13.5,346,5,,76.0,42,23.1,48.0,336,1010,49,24,81.0,,0.72,0.0,22.0,80,67,15.2,0.11,916,-0.8,10.4,106.0,0
OZN002537,32.5,,25.7,13.6,633,7,12.6,47.0,24,4.3,11.0,294,1012,41,16,64.0,55.0,0.68,7.3,31.0,79,98,33.1,1.32,1354,2.5,1.6,46.0,0
OZN002538,28.1,16.8,22.5,11.3,587,6,,62.0,36,17.6,39.0,166,1014,30,15,51.0,39.0,0.32,13.4,33.0,100,88,30.2,0.74,1219,0.7,3.4,70.0,0
OZN002539,23.5,14.2,18.8,9.3,524,6,5.9,64.0,26,8.6,20.0,41,1018,43,17,65.0,30.0,0.67,9.8,32.0,46,30,20.0,0.02,1145,0.5,4.4,11.0,0
OZN002540,36.1,14.9,25.5,21.2,646,7,9.9,69.0,30,5.8,8.0,247,1016,47,19,77.0,49.0,0.78,5.4,26.0,66,64,36.8,0.83,1899,1.4,3.9,34.0,0
OZN002541,,25.3,32.4,14.2,818,11,13.9,27.0,5,5.5,26.0,150,1026,41,16,,102.0,0.76,5.8,41.0,119,101,43.7,1.36,1814,-1.3,0.0,111.0,1
OZN002542,25.6,,21.5,8.3,591,4,8.9,42.0,39,14.2,27.0,328,1015,22,1,29.0,30.0,0.1,16.0,13.0,89,95,23.3,0.38,960,1.1,5.6,22.0,0
OZN002543,22.6,9.9,16.2,12.7,359,5,6.8,67.0,49,15.4,30.0,133,1018,17,3,24.0,48.0,0.3,2.4,,49,31,19.4,0.4,784,2.8,10.4,5.0,0
OZN002544,33.1,19.5,26.3,13.6,604,10,11.9,,36,9.6,2.0,139,1024,59,25,95.0,75.0,0.78,10.0,,120,122,34.0,0.4,1805,-1.3,2.0,4.0,1
OZN002545,23.6,11.6,17.6,12.0,580,6,7.0,58.0,47,13.1,28.0,68,1002,26,12,52.0,41.0,0.49,3.8,14.0,97,108,22.6,0.57,1017,3.5,7.0,53.0,0
OZN002546,23.7,15.9,19.8,7.8,501,4,7.1,60.0,37,10.6,20.0,295,1019,52,27,93.0,38.0,,3.6,,96,89,20.2,0.48,751,-0.3,9.9,117.0,0
OZN002547,23.9,,18.3,,334,4,7.6,67.0,36,10.9,24.0,292,1024,25,5,39.0,9.0,0.23,5.3,27.0,39,28,24.6,0.08,1238,1.1,6.4,0.0,0
OZN002548,24.1,15.6,19.8,8.5,444,3,5.9,48.0,43,12.2,,271,1016,22,5,24.0,23.0,0.26,9.9,23.0,75,76,17.9,0.87,1039,-3.1,5.7,64.0,0
OZN002549,26.9,13.3,20.1,13.6,417,5,6.4,55.0,46,,30.0,257,1011,41,20,69.0,40.0,0.46,4.2,27.0,72,68,27.5,0.14,965,2.2,6.2,,0
OZN002550,32.9,22.7,27.8,10.2,802,8,10.9,40.0,24,6.0,14.0,302,1010,31,8,43.0,51.0,0.42,8.1,19.0,98,100,33.8,0.77,1616,2.8,2.2,50.0,0
OZN002551,31.8,15.9,23.8,15.9,497,4,8.1,64.0,30,12.3,29.0,189,1009,43,21,76.0,,0.67,3.9,24.0,73,57,33.3,0.62,781,0.1,6.6,16.0,1
OZN002552,25.2,20.0,22.6,5.2,613,8,9.5,50.0,46,11.5,40.0,183,1013,34,17,63.0,35.0,0.63,4.9,29.0,92,94,22.5,0.57,1171,5.3,4.6,60.0,0
OZN002553,24.6,12.6,18.6,12.0,498,4,10.0,69.0,39,12.4,24.0,195,1013,34,15,56.0,32.0,0.46,7.0,38.0,47,49,21.2,0.31,1211,-2.4,7.7,131.0,0
OZN002554,19.8,9.5,14.6,10.3,447,3,5.8,78.0,54,10.9,18.0,248,1022,25,10,43.0,26.0,0.2,4.6,12.0,70,43,14.9,0.28,813,-0.2,11.3,21.0,0
OZN002555,29.6,15.6,22.6,14.0,667,6,8.6,,27,,23.0,92,1015,35,14,59.0,40.0,0.52,10.0,35.0,56,50,28.1,0.92,1366,0.9,,37.0,0
OZN002556,24.6,12.9,18.8,11.7,558,5,6.4,71.0,50,10.1,26.0,87,1009,34,19,58.0,25.0,0.51,4.6,20.0,60,45,20.1,0.36,1072,-1.7,8.3,0.0,0
OZN002557,30.2,14.9,22.6,15.3,600,5,10.8,47.0,38,10.8,29.0,314,1012,14,3,31.0,,0.1,2.6,23.0,78,47,30.6,0.32,1302,2.1,9.9,63.0,0
OZN002558,37.6,21.2,29.4,,799,9,12.7,41.0,19,2.3,10.0,140,1008,34,17,,47.0,0.53,4.9,17.0,55,53,41.0,0.9,1690,1.8,,126.0,1
OZN002559,35.4,16.7,26.0,18.7,604,8,,46.0,21,7.4,23.0,350,1027,15,4,,26.0,0.13,11.5,17.0,25,12,39.5,0.37,1591,3.3,16.6,42.0,0
OZN002560,31.0,15.4,23.2,15.6,576,7,11.5,48.0,43,12.9,40.0,284,1013,33,19,62.0,54.0,0.55,1.8,41.0,46,51,33.6,0.77,1307,7.4,1.5,106.0,0
OZN002561,30.2,17.2,23.7,13.0,716,5,8.4,50.0,32,7.2,15.0,131,1016,28,8,31.0,50.0,0.39,1.3,25.0,93,98,32.2,0.67,1192,4.3,2.6,52.0,1
OZN002562,18.9,,12.6,12.6,199,3,3.6,74.0,61,18.4,38.0,353,1016,38,20,69.0,16.0,0.67,0.0,27.0,49,33,9.2,0.43,931,-4.0,9.6,4.0,0
OZN002563,23.5,12.9,18.2,10.6,436,5,7.2,57.0,42,12.8,37.0,84,1012,27,8,37.0,28.0,0.55,9.4,20.0,90,93,22.4,0.67,656,1.3,5.5,0.0,0
OZN002564,32.2,17.1,24.7,15.1,752,8,10.4,48.0,39,,14.0,148,1001,31,12,,52.0,0.38,9.3,24.0,120,103,33.7,1.15,1686,1.2,3.1,0.0,1
OZN002565,26.8,12.9,19.8,13.9,619,4,8.1,70.0,26,11.7,25.0,56,1013,32,19,56.0,26.0,0.56,3.5,23.0,121,118,27.0,1.0,891,-2.2,6.4,0.0,0
OZN002566,21.2,10.8,16.0,10.4,263,2,4.7,64.0,44,19.5,43.0,155,1010,30,4,43.0,,0.33,6.5,31.0,95,117,11.2,-0.06,863,-0.8,10.4,37.0,0
OZN002567,23.0,10.0,16.5,13.0,577,4,5.6,,42,17.3,47.0,49,1008,20,11,46.0,18.0,0.28,0.0,30.0,58,65,18.1,0.73,1356,-2.5,10.1,38.0,0
OZN002568,29.1,21.6,25.4,7.5,562,6,7.4,46.0,28,10.0,27.0,36,1008,33,13,55.0,54.0,0.5,16.9,27.0,83,72,27.5,0.51,973,0.1,2.8,51.0,0
OZN002569,32.0,16.2,24.1,15.8,616,8,9.7,46.0,35,8.0,24.0,198,1011,23,7,29.0,53.0,0.28,5.8,33.0,115,109,33.6,0.25,1132,-0.7,5.6,78.0,0
OZN002570,,14.3,18.5,8.4,489,6,8.5,59.0,33,10.1,22.0,211,1017,41,13,53.0,57.0,0.61,1.1,38.0,103,95,18.7,0.21,1019,2.6,13.5,74.0,0
OZN002571,26.2,16.6,21.4,9.6,506,5,8.2,54.0,46,16.9,37.0,10,1009,27,10,38.0,31.0,0.14,2.7,27.0,84,83,26.1,0.39,1031,-2.3,4.4,20.0,0
OZN002572,31.2,15.5,23.4,15.7,615,7,7.2,52.0,32,12.1,29.0,196,1014,31,9,37.0,42.0,0.21,3.5,13.0,67,72,32.8,0.34,1527,1.2,5.1,54.0,0
OZN002573,17.6,10.3,14.0,7.3,362,3,5.5,78.0,50,21.4,51.0,157,1000,32,7,53.0,9.0,0.49,11.1,38.0,35,40,6.6,0.37,787,-0.4,7.9,73.0,0
OZN002574,24.4,15.7,20.0,8.7,412,4,,64.0,32,17.3,39.0,274,1007,27,5,,44.0,0.24,6.8,16.0,113,114,17.6,0.38,817,1.0,9.9,5.0,0
OZN002575,29.6,18.5,24.0,11.1,567,8,8.7,58.0,26,15.5,39.0,276,1011,31,12,51.0,53.0,,6.7,12.0,66,65,28.7,0.65,913,-0.3,7.1,104.0,0
OZN002576,30.0,15.1,22.6,14.9,528,7,8.6,,22,13.4,33.0,2,1026,61,41,,71.0,,5.0,39.0,72,61,30.2,0.9,1534,1.9,2.4,125.0,1
OZN002577,26.9,,21.5,10.8,636,5,,62.0,42,13.5,32.0,253,1010,42,22,80.0,,0.65,12.0,23.0,38,29,27.1,0.53,1417,1.2,2.5,47.0,0
OZN002578,22.5,11.0,16.8,11.5,508,5,6.3,62.0,44,15.3,30.0,266,1011,25,8,35.0,21.0,0.41,2.6,30.0,9,5,16.7,0.53,801,-3.4,8.7,42.0,0
OZN002579,27.7,17.1,22.4,10.6,565,6,8.1,60.0,36,11.1,23.0,235,1013,44,18,84.0,44.0,0.67,5.1,22.0,89,84,25.8,0.59,1432,0.7,,25.0,0
OZN002580,39.3,24.2,31.8,15.1,801,10,13.3,25.0,19,8.3,24.0,10,1018,44,23,80.0,87.0,0.82,5.4,38.0,157,168,46.0,0.91,1856,4.6,0.0,153.0,1
OZN002581,25.5,16.2,20.8,9.3,487,7,9.2,50.0,42,13.9,30.0,243,1020,40,18,65.0,28.0,0.76,7.3,23.0,63,45,22.2,0.05,1330,2.0,10.8,,0
OZN002582,27.2,15.3,21.2,11.9,676,9,11.0,55.0,19,11.7,25.0,98,1014,46,19,82.0,44.0,0.56,1.7,13.0,53,42,27.9,0.63,1181,2.0,14.6,117.0,0
OZN002583,24.1,10.3,17.2,13.8,527,6,6.3,54.0,36,16.1,39.0,173,1025,37,19,64.0,,0.62,4.8,16.0,52,32,20.2,0.72,1238,-0.0,5.4,0.0,0
OZN002584,25.8,10.4,18.1,,421,5,5.2,62.0,50,14.8,30.0,262,1019,45,23,82.0,47.0,0.87,3.6,,113,92,25.3,0.74,944,-0.1,7.1,85.0,0
OZN002585,22.7,11.2,17.0,11.5,545,4,7.2,88.0,46,13.2,,122,1008,41,21,81.0,27.0,0.42,4.7,15.0,98,101,22.9,0.32,1106,2.5,,81.0,0
OZN002586,26.3,15.4,20.8,10.9,551,5,,54.0,31,12.1,24.0,257,1010,16,1,16.0,36.0,0.18,0.0,26.0,9,5,27.2,0.33,1401,4.6,7.7,80.0,0
OZN002587,23.9,13.3,18.6,10.6,517,4,7.0,61.0,46,11.3,,98,1019,40,22,76.0,42.0,0.67,10.6,20.0,95,102,23.0,0.42,1292,-4.2,7.0,16.0,0
OZN002588,43.2,,35.8,14.7,992,12,14.0,12.0,9,3.1,13.0,346,1023,54,26,88.0,102.0,0.86,6.6,51.0,130,134,46.0,1.25,2421,8.3,0.0,102.0,1
OZN002589,28.4,21.6,25.0,6.8,681,8,7.9,47.0,32,5.3,11.0,192,1022,45,20,83.0,44.0,0.61,4.1,30.0,78,59,28.1,0.39,1099,0.6,3.7,88.0,0
OZN002590,25.1,12.7,18.9,12.4,384,4,5.8,72.0,45,,32.0,360,1006,28,4,,30.0,0.1,6.8,17.0,21,9,21.2,0.36,415,-0.1,,21.0,0
OZN002591,31.4,17.4,24.4,14.0,785,9,10.9,38.0,17,6.5,19.0,316,1017,52,16,70.0,,0.75,0.0,20.0,75,66,36.2,0.75,1673,2.6,3.4,85.0,0
OZN002592,27.5,18.5,23.0,9.0,581,8,9.1,52.0,19,14.4,31.0,48,1005,37,17,,48.0,0.52,15.2,27.0,100,119,26.8,0.58,1561,-1.1,2.5,20.0,0
OZN002593,29.1,17.7,23.4,11.4,652,7,10.0,46.0,33,8.1,25.0,12,1012,44,20,83.0,55.0,0.8,9.7,,92,85,28.3,0.71,1312,0.5,2.8,124.0,1
OZN002594,34.5,17.7,26.1,16.8,673,9,11.4,38.0,37,10.6,32.0,307,1026,33,17,61.0,,0.77,6.1,28.0,102,90,34.7,0.84,1698,1.9,2.3,93.0,0
OZN002595,27.2,13.2,20.2,14.0,436,7,6.5,56.0,40,11.0,30.0,121,1013,34,17,59.0,33.0,0.44,5.7,23.0,37,31,23.7,0.55,1586,-1.1,3.5,55.0,0
OZN002596,30.8,17.2,24.0,13.6,724,9,11.0,38.0,20,17.1,37.0,259,1010,29,12,35.0,52.0,0.44,12.7,,66,54,30.9,0.58,1144,1.3,,60.0,0
OZN002597,33.0,20.2,26.6,12.8,687,9,11.3,41.0,23,8.8,16.0,312,1021,13,1,20.0,55.0,0.1,5.2,28.0,114,121,35.0,1.24,1423,0.6,5.5,117.0,0
OZN002598,30.0,16.9,23.4,13.1,657,5,9.2,64.0,23,12.0,34.0,120,1015,38,18,56.0,50.0,0.55,0.6,22.0,108,116,31.0,0.73,1549,-0.3,6.4,25.0,0
OZN002599,33.8,17.8,25.8,16.0,655,7,9.5,63.0,27,10.3,11.0,293,1013,26,9,31.0,33.0,0.42,5.1,33.0,94,88,29.6,0.64,1615,-0.9,6.2,50.0,0
OZN002600,26.5,,21.8,9.4,758,7,10.1,48.0,18,15.3,,32,1021,42,19,70.0,51.0,0.66,9.2,33.0,34,9,21.8,0.8,1110,-2.8,4.6,13.0,0
OZN002601,32.1,,24.2,15.9,580,6,10.6,56.0,21,5.8,6.0,44,1020,34,19,57.0,,0.62,4.9,19.0,70,51,33.5,0.38,1449,0.3,2.3,16.0,0
OZN002602,31.8,,22.4,18.7,682,9,,47.0,33,11.5,24.0,360,1014,41,15,,47.0,0.46,5.3,32.0,89,104,32.8,0.82,1126,2.4,5.4,76.0,0
OZN002603,38.0,,29.8,16.4,858,10,,,30,9.0,29.0,72,1021,47,26,86.0,66.0,0.74,5.2,32.0,91,86,45.8,1.19,1801,2.4,0.0,54.0,1
OZN002604,17.6,8.3,13.0,9.3,309,2,6.8,72.0,60,18.7,49.0,73,1002,39,18,,18.0,0.45,10.5,26.0,37,36,13.4,0.48,1078,-6.2,7.9,0.0,0
OZN002605,29.0,12.5,20.8,16.5,436,6,7.2,61.0,57,15.1,46.0,311,1018,40,19,72.0,59.0,0.7,8.4,33.0,60,58,23.7,0.76,1213,-1.2,7.5,99.0,0
OZN002606,24.7,15.0,19.8,9.7,473,5,8.3,55.0,41,19.8,35.0,90,1011,12,5,16.0,29.0,0.24,2.4,14.0,78,87,22.3,1.09,1744,-3.9,4.9,91.0,0
OZN002607,,5.4,11.2,11.7,257,1,3.0,90.0,55,20.7,48.0,304,1004,25,6,30.0,2.0,0.24,6.4,,82,93,10.1,0.41,372,-6.4,10.8,17.0,0
OZN002608,,17.2,23.4,12.3,686,7,10.3,36.0,26,6.2,12.0,241,1019,27,16,53.0,67.0,,10.8,22.0,108,133,32.7,0.76,1915,4.1,3.9,108.0,0
OZN002609,42.6,26.0,34.3,16.6,964,12,14.0,29.0,6,3.5,2.0,196,1014,46,26,80.0,75.0,0.71,5.2,33.0,86,67,46.0,1.24,1772,3.4,0.0,143.0,0
OZN002610,25.5,13.3,19.4,12.2,455,6,9.2,49.0,27,11.2,20.0,48,1020,38,20,64.0,43.0,0.58,6.8,30.0,21,10,25.6,0.49,830,-1.1,5.1,111.0,0
OZN002611,,18.4,24.2,11.6,668,7,9.4,60.0,39,7.0,18.0,24,1017,14,5,16.0,33.0,0.1,2.9,27.0,82,68,30.2,1.13,1580,2.6,3.5,96.0,0
OZN002612,29.2,17.1,23.2,12.1,644,8,10.1,46.0,14,9.3,8.0,10,1017,40,14,51.0,49.0,0.65,8.9,30.0,94,75,32.4,1.23,1016,3.9,1.6,25.0,0
OZN002613,27.4,14.9,21.2,12.5,644,7,10.3,,28,10.9,22.0,348,1021,39,13,66.0,,0.74,5.4,25.0,90,93,28.7,0.75,940,-0.8,5.2,43.0,0
OZN002614,21.7,10.1,15.9,11.6,442,4,7.7,65.0,54,10.6,28.0,28,1012,35,21,68.0,34.0,0.48,9.6,17.0,59,54,19.2,0.38,683,-4.3,5.8,,0
OZN002615,33.9,,26.4,15.1,668,8,8.0,47.0,35,11.8,36.0,196,1023,33,16,,51.0,,8.5,20.0,67,48,34.6,0.48,1675,0.1,5.9,17.0,0
OZN002616,31.4,17.6,24.5,13.8,712,9,9.9,25.0,17,8.2,,122,1024,43,19,67.0,61.0,0.84,0.0,24.0,99,84,33.0,1.26,1649,3.5,0.4,55.0,0
OZN002617,12.3,7.4,9.9,4.9,116,0,3.2,82.0,63,15.3,33.0,36,1011,43,23,80.0,13.0,0.74,10.2,36.0,60,54,5.0,0.16,588,-2.4,10.0,11.0,0
OZN002618,32.8,16.6,24.7,16.2,671,8,9.9,49.0,30,13.4,29.0,65,1012,38,20,64.0,61.0,0.6,7.4,39.0,146,156,34.5,0.51,1161,1.6,2.2,101.0,0
OZN002619,27.6,,21.4,12.5,546,5,10.2,70.0,23,9.1,25.0,254,1015,23,5,31.0,31.0,0.1,6.6,21.0,77,70,28.5,0.43,1558,-0.6,3.6,49.0,0
OZN002620,,23.4,29.8,12.9,830,11,10.5,36.0,24,8.2,21.0,231,1018,16,1,14.0,,0.14,10.2,,144,128,40.0,1.3,1315,5.2,7.6,96.0,0
OZN002621,24.3,10.8,17.6,13.5,371,6,7.4,58.0,39,,35.0,113,1014,34,12,61.0,,0.49,3.7,42.0,19,15,21.0,0.26,1277,0.3,11.3,39.0,0
OZN002622,33.5,19.4,26.4,14.1,760,9,11.1,43.0,7,7.9,21.0,276,1014,30,14,53.0,62.0,0.45,7.0,24.0,81,60,37.2,1.62,1425,3.0,1.4,136.0,0
OZN002623,,19.3,26.2,13.7,614,6,10.3,56.0,21,12.9,,159,1013,58,24,98.0,69.0,0.77,9.7,34.0,47,20,31.6,0.72,935,-2.3,4.1,87.0,0
OZN002624,15.4,6.0,10.7,9.4,298,1,5.8,74.0,48,14.2,34.0,21,1017,36,16,52.0,6.0,0.44,4.9,,70,83,7.2,0.48,995,-0.1,8.2,71.0,0
OZN002625,29.8,16.6,23.2,13.2,665,5,9.9,53.0,36,13.5,27.0,170,1018,42,17,65.0,53.0,0.69,6.5,27.0,81,77,26.9,0.88,1021,3.9,8.6,22.0,0
OZN002626,28.6,15.3,22.0,13.3,570,5,10.6,56.0,35,10.0,25.0,182,1013,34,17,,45.0,0.46,6.0,22.0,60,59,28.1,0.09,1068,-2.8,7.3,52.0,0
OZN002627,39.0,22.9,31.0,16.1,872,12,13.3,34.0,15,6.5,16.0,185,1025,10,1,9.0,64.0,0.1,9.2,7.0,96,112,43.7,1.21,1811,1.2,0.0,76.0,1
OZN002628,21.8,14.7,18.2,7.1,557,6,,64.0,32,10.5,27.0,196,1026,39,17,67.0,,0.5,8.7,43.0,34,43,21.4,0.15,1032,-0.1,15.4,79.0,0
OZN002629,22.7,13.8,18.2,8.9,633,7,6.1,45.0,36,11.2,16.0,115,1012,31,12,52.0,42.0,0.45,5.5,7.0,61,53,23.9,0.23,1059,0.3,4.4,49.0,0
OZN002630,34.8,23.4,29.1,,784,8,12.1,40.0,19,,22.0,151,1020,38,17,54.0,71.0,0.43,12.3,33.0,63,41,42.2,0.61,1797,1.2,0.0,140.0,1
OZN002631,32.8,17.0,24.9,15.8,730,10,11.4,42.0,25,8.8,21.0,346,1017,24,1,19.0,63.0,0.33,1.2,16.0,112,120,37.5,0.97,1462,2.5,5.4,125.0,1
OZN002632,26.6,15.3,21.0,11.3,533,4,6.3,46.0,50,11.0,,84,1022,51,27,88.0,55.0,0.96,0.3,31.0,20,5,23.9,0.92,900,-4.4,6.1,53.0,0
OZN002633,27.6,17.3,22.5,10.3,626,7,10.1,47.0,32,9.1,,187,1020,20,1,25.0,35.0,0.22,8.8,19.0,33,19,29.0,0.41,1279,-1.8,3.3,27.0,0
OZN002634,20.5,2.8,11.6,17.7,291,2,5.4,85.0,50,14.1,35.0,79,1017,28,11,42.0,,0.56,4.9,33.0,84,85,11.8,0.34,787,-3.3,14.7,0.0,0
OZN002635,26.8,14.8,20.8,12.0,503,5,7.4,64.0,38,9.3,25.0,307,1020,53,28,92.0,43.0,0.49,2.1,19.0,66,75,27.0,0.62,887,-1.6,5.3,69.0,0
OZN002636,19.7,,15.7,,577,4,6.9,75.0,42,16.2,39.0,13,1013,32,18,65.0,31.0,0.41,4.6,23.0,68,59,14.4,0.34,830,-2.7,10.6,64.0,0
OZN002637,39.2,21.3,30.2,,912,11,11.0,25.0,18,12.0,34.0,63,1028,15,4,29.0,57.0,,0.0,26.0,122,130,43.8,1.1,1613,1.5,0.0,131.0,1
OZN002638,28.8,15.5,22.2,13.3,588,7,8.4,60.0,31,8.1,15.0,182,1017,37,19,68.0,49.0,0.41,0.2,37.0,51,33,29.8,0.48,1284,-2.1,3.8,107.0,0
OZN002639,33.1,15.6,24.4,17.5,690,8,11.1,43.0,35,13.8,,129,1016,26,12,46.0,47.0,0.39,1.5,32.0,73,72,37.7,1.14,929,2.7,4.7,33.0,0
OZN002640,23.0,11.7,17.4,11.3,496,5,7.6,54.0,39,15.2,40.0,53,1010,46,21,80.0,,0.62,8.5,40.0,83,84,19.1,0.67,794,2.4,8.8,77.0,0
OZN002641,34.0,25.0,29.5,9.0,753,10,,18.0,14,3.6,7.0,65,1014,40,13,56.0,61.0,0.4,2.7,25.0,57,53,39.1,0.96,1455,2.6,0.0,129.0,0
OZN002642,32.9,17.0,25.0,15.9,617,8,9.5,46.0,17,13.1,,112,1010,33,18,54.0,60.0,0.49,12.6,21.0,78,97,36.4,1.2,1334,3.3,5.8,110.0,1
OZN002643,41.5,23.1,32.3,18.4,913,11,13.1,18.0,5,4.7,,150,1024,21,8,28.0,55.0,0.51,5.9,19.0,121,131,46.0,0.89,1433,1.1,0.0,112.0,0
OZN002644,24.6,13.4,19.0,11.2,514,5,9.0,53.0,33,13.5,,322,1015,35,12,,34.0,0.46,11.6,18.0,86,76,22.2,0.38,1220,0.3,7.2,22.0,0
OZN002645,30.8,16.9,23.8,,693,6,9.9,51.0,22,13.4,26.0,33,1023,21,8,38.0,38.0,0.21,5.0,24.0,110,121,34.1,0.39,1643,-1.7,2.0,72.0,0
OZN002646,29.2,18.2,23.7,11.0,495,7,9.6,52.0,41,11.8,,235,1012,23,1,34.0,53.0,0.18,8.7,18.0,80,66,32.5,0.69,1326,2.3,7.2,76.0,0
OZN002647,40.2,23.7,32.0,16.5,961,11,14.0,31.0,7,3.0,6.0,103,1017,22,4,,62.0,0.33,5.6,32.0,101,102,46.0,0.9,1818,4.7,0.0,71.0,0
OZN002648,31.4,,23.7,15.4,611,7,8.9,59.0,26,12.6,32.0,137,1018,9,3,10.0,51.0,0.1,9.2,13.0,69,68,30.2,0.51,1166,3.0,6.7,18.0,0
OZN002649,30.2,13.6,21.9,16.6,530,7,8.4,60.0,36,12.3,30.0,96,1010,36,15,61.0,59.0,0.57,4.4,28.0,45,26,26.8,0.49,1260,3.2,,82.0,0
OZN002650,15.7,,11.4,8.7,151,1,4.2,78.0,51,17.5,45.0,175,1010,38,18,65.0,33.0,0.6,12.4,12.0,36,24,5.0,0.5,414,0.2,,84.0,0
OZN002651,30.6,13.7,22.2,16.9,603,8,7.5,56.0,33,8.6,17.0,335,1018,31,21,61.0,41.0,0.51,12.2,14.0,58,49,29.6,0.73,1433,0.0,3.6,43.0,0
OZN002652,22.9,10.4,16.6,12.5,471,3,6.3,63.0,54,13.1,25.0,171,1019,42,20,69.0,35.0,0.72,8.8,,58,34,17.1,0.57,1291,-1.2,8.6,,0
OZN002653,27.8,18.2,23.0,9.6,518,7,8.3,56.0,37,12.6,38.0,342,1024,43,14,63.0,46.0,0.45,8.5,27.0,86,70,28.6,0.3,966,0.5,,10.0,0
OZN002654,24.0,12.4,18.2,,326,3,6.7,59.0,32,16.4,40.0,47,994,72,45,141.0,70.0,1.44,4.5,37.0,28,8,18.0,0.46,1225,-3.0,8.7,51.0,0
OZN002655,16.1,7.6,11.9,8.5,210,2,,73.0,62,17.1,36.0,75,1016,28,8,34.0,8.0,0.18,3.1,54.0,87,99,6.8,0.19,511,-2.4,11.6,0.0,0
OZN002656,23.0,14.0,18.5,9.0,374,5,7.9,48.0,52,12.3,28.0,81,1015,33,19,67.0,51.0,0.3,13.0,42.0,28,19,19.9,0.47,669,1.4,5.2,71.0,0
OZN002657,38.2,,30.4,15.7,747,8,12.3,41.0,6,0.0,7.0,287,1014,61,27,102.0,60.0,0.92,4.9,27.0,86,87,43.6,0.77,1774,1.0,0.0,148.0,1
OZN002658,20.7,,15.8,,387,4,6.5,63.0,43,12.6,26.0,236,1004,35,10,50.0,22.0,0.47,7.1,21.0,78,80,15.6,0.45,1020,-1.2,7.2,55.0,0
OZN002659,32.4,16.8,24.6,15.6,746,7,11.5,,28,7.2,18.0,74,1018,25,3,40.0,46.0,0.1,7.1,31.0,68,77,40.8,0.57,1123,2.6,3.4,120.0,0
OZN002660,21.1,12.5,16.8,8.6,442,3,7.2,67.0,59,19.2,43.0,250,1017,28,12,38.0,31.0,0.5,7.9,34.0,57,58,17.5,0.08,678,-0.1,8.9,29.0,0
OZN002661,26.8,13.2,20.0,13.6,577,3,6.3,62.0,46,2.0,5.0,349,1010,34,14,62.0,43.0,0.59,12.7,28.0,56,43,24.4,0.51,930,0.3,15.4,11.0,1
