id_parcela,temp_media_c,temp_max_c,temp_min_c,humedad_pct,humedad_suelo_pct,precipitacion_mm,precipitacion_acum_30d_mm,horas_humectacion_foliar,ndvi,ndwi,indice_estres_hidrico,dias_desde_tratamiento,num_tratamientos_campana,densidad_plantas_m2,ph_suelo,materia_organica_pct,nitrogeno_ppm,conductividad_suelo,altitud_m,pendiente_pct,dist_foco_plaga_km,trampas_capturas_num,grados_dia_acumulados,indice_presion_plaga,cobertura_vegetal_pct,edad_cultivo_dias,tipo_cultivo,sistema_riego,uso_fitosanitario,variedad_resistente,manejo,perdida_cosecha
CSC000806,22.6,31.1,15.1,97,36.6,74,152,15.7,0.57,0.75,0.71,48,1,182,6.6,3.5,27,0.76,280,8.3,19.7,32,996,55,82,61,horticola,secano,si,no,integrado,0
CSC000807,23.2,32.5,17.7,72,22.6,29,99,8.7,0.63,0.21,0.18,1,4,225,6.9,2.1,25,1.07,593,19.7,3.4,10,1149,29,77,114,olivo,goteo,si,no,integrado,0
CSC000808,11.0,14.8,2.1,55,19.2,44,99,9.3,0.61,0.27,0.32,14,1,219,6.7,3.3,15,0.86,714,2.2,1.6,29,435,36,72,136,vid,aspersion,no,no,integrado,1
CSC000809,23.0,30.1,15.5,70,21.6,37,89,4.1,0.57,0.23,0.34,16,2,180,6.3,2.2,13,0.11,615,0.0,7.7,19,1220,47,51,120,horticola,goteo,si,no,integrado,0
CSC000810,23.7,32.2,16.7,70,31.0,54,146,9.6,0.68,0.19,0.29,1,2,179,6.1,3.3,18,0.85,598,7.5,9.3,19,1173,31,70,36,vid,aspersion,si,no,integrado,0
CSC000811,16.0,23.0,6.9,79,22.8,70,107,13.7,0.58,0.57,0.33,14,3,161,5.7,0.5,27,1.19,298,17.1,14.0,31,516,45,85,122,vid,aspersion,si,no,integrado,0
CSC000812,24.5,35.8,16.1,74,26.5,89,124,13.4,0.38,0.8,0.78,39,1,269,6.9,1.4,29,0.1,543,8.5,4.3,41,974,72,68,23,vid,aspersion,no,no,ecologico,0
CSC000813,18.2,26.5,10.8,66,30.0,86,126,11.8,0.52,0.56,0.53,1,2,178,5.9,4.3,12,0.24,306,8.6,3.3,39,928,52,61,45,horticola,secano,no,no,convencional,1
CSC000814,19.1,29.2,11.2,47,14.6,33,55,5.7,0.69,-0.11,0.21,6,8,176,6.9,0.6,16,1.18,385,2.4,6.5,16,638,27,65,5,trigo,secano,no,no,convencional,0
CSC000815,21.5,28.9,14.6,71,18.8,54,125,11.6,0.7,0.6,0.34,41,2,99,5.4,3.0,20,0.76,191,7.1,47.2,10,850,37,79,125,horticola,goteo,si,no,convencional,0
CSC000816,23.9,33.5,17.5,94,32.6,53,205,10.2,0.64,0.44,0.29,13,6,157,6.9,2.9,25,0.65,499,4.7,1.9,26,1109,39,43,96,citricos,goteo,si,si,ecologico,0
CSC000817,20.5,29.8,13.5,68,26.4,26,67,5.8,0.73,0.03,0.18,4,5,216,6.8,2.6,27,0.52,387,8.6,19.1,11,968,9,68,118,trigo,secano,si,no,convencional,0
CSC000818,19.6,27.5,10.3,73,23.4,37,0,9.5,0.65,0.21,0.05,4,2,183,6.7,1.8,27,1.63,243,3.3,48.5,0,882,20,70,110,citricos,aspersion,si,si,convencional,0
CSC000819,22.9,30.8,15.3,89,35.2,73,99,9.2,0.67,0.75,0.37,14,5,202,6.4,2.4,18,0.72,516,5.5,50.0,19,967,48,64,75,vid,goteo,si,no,integrado,1
CSC000820,19.2,25.8,10.9,64,24.0,31,79,9.5,0.55,0.11,0.26,3,3,191,6.1,0.5,8,0.97,535,17.5,2.6,23,742,30,59,114,horticola,goteo,no,no,convencional,0
CSC000821,22.2,31.5,16.4,60,18.4,38,59,5.3,0.45,0.01,0.5,120,2,178,7.0,2.5,18,0.26,655,1.0,5.6,48,1245,51,48,93,trigo,goteo,no,si,convencional,0
CSC000822,17.6,27.6,10.6,60,24.8,14,31,8.4,0.7,0.13,0.34,20,4,182,6.1,2.3,32,1.38,50,0.0,6.8,15,673,35,49,157,vid,goteo,si,no,integrado,0
CSC000823,24.1,33.8,15.6,50,16.7,26,118,7.4,0.61,0.11,0.19,18,6,114,6.5,1.3,14,1.36,441,3.0,0.2,1,903,37,83,157,horticola,aspersion,si,si,ecologico,0
CSC000824,26.2,37.4,19.8,76,20.5,61,66,8.5,0.73,0.29,0.21,19,1,227,6.3,3.1,19,1.28,311,11.0,50.0,8,1150,16,60,105,trigo,secano,si,si,convencional,0
CSC000825,17.9,26.8,9.8,69,24.9,49,142,8.8,0.62,0.57,0.48,2,3,169,6.1,4.0,16,1.13,385,4.8,1.9,16,679,48,68,76,trigo,secano,no,no,integrado,0
CSC000826,27.0,35.1,20.9,49,14.1,8,50,3.6,0.65,-0.31,0.48,3,4,184,6.4,2.1,21,1.49,382,11.5,6.8,16,1155,39,65,184,vid,secano,si,no,convencional,0
CSC000827,20.1,29.0,13.5,65,20.7,6,72,7.5,0.64,0.09,0.25,36,4,199,6.5,1.4,26,1.31,512,8.8,3.6,25,931,49,92,89,olivo,secano,no,si,convencional,0
CSC000828,22.1,31.3,14.3,60,24.0,45,93,7.2,0.56,-0.03,0.41,19,2,254,6.6,3.8,20,1.95,877,13.7,7.6,25,861,41,45,93,citricos,goteo,si,no,convencional,0
CSC000829,18.0,26.0,8.9,68,19.9,11,54,7.4,0.49,0.08,0.56,46,2,167,6.0,1.9,35,1.6,494,5.2,5.0,27,697,54,100,79,horticola,secano,no,no,convencional,1
CSC000830,20.9,27.8,13.1,87,31.4,58,152,13.5,0.47,0.66,0.54,38,0,176,6.4,2.5,26,0.9,244,16.9,0.2,35,1072,76,78,59,vid,secano,si,no,integrado,1
CSC000831,17.9,25.9,9.5,75,32.0,38,58,11.7,0.71,0.2,0.2,9,2,249,7.1,1.0,21,0.44,413,0.0,6.7,17,524,32,78,81,vid,aspersion,no,no,convencional,0
CSC000832,25.3,37.1,18.7,58,26.6,60,151,6.5,0.63,0.22,0.36,9,2,156,6.7,1.7,8,0.38,646,16.7,10.9,18,870,38,100,37,citricos,goteo,si,no,convencional,1
CSC000833,19.5,23.6,10.4,69,31.6,47,129,12.2,0.52,0.34,0.63,60,2,200,7.0,3.5,20,0.64,440,0.6,20.3,30,687,60,92,95,maiz,secano,no,no,convencional,0
CSC000834,9.4,14.4,-0.9,39,5.8,2,0,0.0,0.84,-0.5,0.0,23,2,171,6.9,1.6,20,1.48,580,9.7,5.4,0,588,5,80,125,vid,goteo,si,si,convencional,0
CSC000835,15.1,20.8,7.6,32,5.0,0,0,0.0,0.72,-0.5,0.05,53,5,208,6.6,3.0,24,0.85,350,0.0,45.5,0,873,14,35,137,horticola,goteo,no,si,convencional,0
CSC000836,22.6,29.9,13.4,55,23.0,0,11,0.0,0.72,-0.25,0.12,21,2,222,6.6,2.2,15,0.98,219,13.3,38.4,0,1120,5,86,168,trigo,secano,si,no,convencional,0
CSC000837,20.5,28.8,11.0,58,24.6,65,111,7.0,0.66,0.26,0.42,50,3,214,7.0,2.7,37,0.26,462,7.6,19.1,20,814,52,68,112,trigo,secano,si,no,convencional,0
CSC000838,24.1,34.0,17.9,37,13.8,26,22,0.0,0.64,-0.44,0.02,24,2,142,7.2,2.1,30,0.66,254,7.9,15.9,1,922,22,67,28,horticola,aspersion,si,no,convencional,0
CSC000839,20.7,30.1,14.0,85,29.0,28,81,11.3,0.72,0.23,0.39,11,0,131,6.8,0.3,17,0.74,285,0.0,5.9,12,1010,36,66,104,vid,aspersion,no,si,convencional,0
CSC000840,21.2,29.9,14.1,68,25.4,40,114,4.0,0.66,0.14,0.22,3,4,48,6.5,2.5,20,1.41,192,6.1,36.0,16,871,17,84,80,citricos,secano,si,no,convencional,0
CSC000841,22.4,30.6,16.1,71,27.3,68,187,7.5,0.72,0.2,0.25,3,2,171,6.4,2.4,32,0.94,0,0.0,15.8,11,927,10,95,127,horticola,secano,no,no,convencional,0
CSC000842,17.9,25.7,8.4,72,29.6,62,114,9.7,0.63,0.44,0.4,28,2,145,5.6,3.1,20,0.63,652,4.8,16.2,34,642,45,69,92,olivo,secano,no,no,ecologico,0
CSC000843,14.7,19.4,6.4,53,26.5,4,76,3.6,0.67,0.01,0.29,54,2,176,5.8,3.3,33,0.46,123,8.2,14.6,15,869,30,92,55,trigo,goteo,no,no,convencional,0
CSC000844,23.5,34.2,17.1,69,28.7,52,104,9.4,0.54,0.41,0.32,7,5,141,6.5,3.1,24,1.3,71,22.0,17.9,35,915,55,88,63,maiz,secano,no,no,integrado,0
CSC000845,20.2,28.8,12.6,69,34.2,93,172,12.0,0.58,0.63,0.51,36,2,201,7.0,1.6,17,0.96,523,6.1,4.7,29,963,43,54,73,trigo,secano,si,si,convencional,1
CSC000846,17.9,24.0,8.2,75,34.9,66,132,10.7,0.55,0.69,0.44,62,1,266,7.0,3.0,11,1.57,239,5.4,5.3,33,1092,34,81,61,citricos,goteo,si,si,convencional,1
CSC000847,21.4,29.5,13.7,77,31.4,47,157,8.3,0.59,0.29,0.65,14,2,184,7.3,2.9,32,1.75,68,3.5,0.3,32,1058,54,58,21,olivo,goteo,si,no,convencional,1
CSC000848,21.2,29.4,12.7,68,27.5,45,47,10.6,0.64,0.28,0.12,13,0,200,6.6,3.1,19,0.89,423,3.6,25.5,9,874,32,53,93,olivo,goteo,si,no,integrado,0
CSC000849,26.7,36.1,19.0,67,27.1,60,165,9.1,0.43,0.52,0.51,97,2,166,6.2,0.3,26,0.85,266,1.6,5.6,43,1069,69,89,141,trigo,secano,si,no,ecologico,0
CSC000850,22.6,32.8,14.4,56,24.9,61,147,6.0,0.59,-0.03,0.39,45,3,138,6.1,1.0,8,0.47,698,0.0,14.9,12,956,27,48,73,maiz,secano,si,si,convencional,0
CSC000851,15.5,21.1,9.0,56,32.3,90,92,10.0,0.75,0.71,0.07,2,2,174,6.9,3.1,27,0.1,605,6.7,50.0,7,615,20,59,85,maiz,goteo,si,si,ecologico,0
CSC000852,20.9,29.1,14.5,77,31.7,56,50,8.8,0.62,0.14,0.47,15,3,153,7.1,1.3,21,0.62,642,12.9,33.9,14,892,25,66,153,maiz,secano,si,no,integrado,0
CSC000853,23.2,31.8,16.3,61,23.4,79,114,8.2,0.7,0.12,0.25,17,3,269,7.6,3.3,21,0.94,313,6.0,15.6,0,1174,30,67,123,maiz,aspersion,si,si,convencional,0
CSC000854,18.7,26.3,10.3,46,30.1,50,79,6.1,0.7,-0.02,0.29,32,3,196,7.0,1.6,21,1.38,480,7.7,13.4,4,552,38,75,54,trigo,secano,si,no,convencional,0
CSC000855,17.2,21.5,8.5,55,9.2,18,77,1.4,0.68,-0.23,0.18,3,3,208,6.6,3.6,21,1.22,335,0.0,1.1,9,512,22,71,37,citricos,secano,si,si,integrado,0
CSC000856,11.8,18.1,2.6,41,15.8,0,12,0.0,0.66,-0.43,0.45,37,4,176,6.3,2.9,30,0.88,586,0.0,0.2,8,534,30,46,115,vid,aspersion,si,no,integrado,0
CSC000857,23.9,32.1,17.1,62,15.1,23,34,3.6,0.75,-0.15,0.32,22,3,130,6.6,1.7,18,0.7,515,0.0,26.8,14,1016,39,81,88,horticola,aspersion,no,no,ecologico,0
CSC000858,20.7,27.5,12.4,53,20.7,22,59,3.8,0.5,-0.13,0.34,2,2,203,7.0,2.7,27,0.38,471,0.0,3.9,28,666,48,93,115,trigo,goteo,si,no,convencional,0
CSC000859,14.4,19.6,5.9,73,25.1,22,98,7.6,0.61,0.04,0.15,4,2,255,6.4,2.2,30,0.32,448,10.3,23.1,7,671,27,78,140,trigo,secano,si,no,ecologico,0
CSC000860,15.7,22.4,7.1,59,28.5,24,27,0.5,0.7,-0.12,0.24,13,2,184,6.4,2.3,25,0.65,254,0.0,3.8,16,747,32,41,89,maiz,aspersion,si,si,integrado,0
CSC000861,17.3,24.9,9.0,66,31.0,60,70,6.0,0.4,0.5,0.6,18,0,169,7.2,3.2,28,0.2,288,2.1,19.1,47,481,60,61,121,horticola,aspersion,si,no,convencional,0
CSC000862,20.0,28.7,12.4,65,17.0,15,95,8.2,0.61,0.17,0.5,14,1,225,6.9,3.4,11,0.49,544,13.4,2.7,28,559,49,81,35,vid,secano,no,si,convencional,0
CSC000863,17.7,26.8,9.3,48,17.5,0,10,0.0,0.63,-0.46,0.21,12,3,185,7.4,1.1,28,0.81,31,7.2,4.8,7,787,25,90,114,maiz,secano,no,no,convencional,0
CSC000864,17.8,25.5,9.7,60,16.8,34,52,4.0,0.7,-0.1,0.33,54,4,106,6.3,2.0,22,1.21,304,22.4,19.2,8,850,30,96,91,horticola,goteo,si,si,integrado,0
CSC000865,13.9,20.6,4.3,50,29.6,31,137,9.3,0.51,-0.03,0.4,6,3,223,6.9,2.4,15,1.55,209,6.5,8.5,24,550,39,64,49,horticola,goteo,si,no,convencional,0
CSC000866,22.1,31.9,13.0,76,35.5,62,66,8.6,0.48,0.48,0.36,1,4,162,7.3,1.6,30,0.16,592,7.6,7.0,12,985,35,89,136,olivo,secano,no,si,ecologico,0
CSC000867,20.0,27.2,11.3,55,20.5,39,77,8.7,0.67,0.08,0.08,3,1,202,5.9,1.2,21,1.51,557,12.7,15.7,0,912,0,82,55,maiz,aspersion,si,si,integrado,0
CSC000868,24.6,33.9,19.3,82,28.9,50,67,9.2,0.64,0.32,0.19,20,0,221,6.2,2.3,17,1.46,354,10.7,19.9,3,1035,27,62,123,trigo,secano,si,si,ecologico,0
CSC000869,18.0,24.6,7.7,100,41.0,92,167,15.9,0.39,0.8,0.68,38,4,157,7.4,1.4,21,0.51,607,13.5,8.1,62,807,89,62,97,horticola,aspersion,no,si,integrado,1
CSC000870,21.0,28.9,14.2,74,22.0,49,49,5.2,0.65,0.18,0.18,24,2,119,7.5,2.2,25,1.41,64,16.3,13.0,12,863,35,100,95,maiz,aspersion,si,si,convencional,0
CSC000871,24.7,34.0,17.2,53,20.2,49,93,6.1,0.6,-0.18,0.33,0,1,168,6.8,2.6,19,0.65,565,8.5,0.6,18,1073,47,66,70,horticola,aspersion,no,no,integrado,0
CSC000872,30.2,41.9,25.6,79,31.7,75,168,19.0,0.61,0.8,0.41,16,2,212,6.0,3.0,17,0.41,380,9.5,10.3,15,1290,53,46,87,vid,aspersion,si,si,convencional,0
CSC000873,27.4,38.9,20.9,65,24.1,60,82,6.5,0.6,0.11,0.36,43,0,192,6.7,2.4,21,1.23,306,10.6,15.5,15,1072,48,80,59,horticola,goteo,no,si,integrado,0
CSC000874,15.5,22.3,7.4,51,15.6,40,29,5.1,0.73,-0.06,0.19,67,8,222,6.8,2.5,17,1.78,392,14.7,11.7,0,821,28,75,85,vid,goteo,si,si,integrado,0
CSC000875,18.8,26.3,10.5,54,15.2,0,41,6.6,0.71,-0.12,0.23,5,3,200,6.3,2.7,34,1.19,0,12.2,23.8,8,777,36,61,54,horticola,goteo,no,no,ecologico,0
CSC000876,23.3,32.1,16.2,73,25.4,56,88,10.3,0.64,0.39,0.43,11,2,195,6.6,0.8,14,1.36,452,2.9,5.9,24,1089,44,67,79,maiz,goteo,no,no,integrado,0
CSC000877,21.0,29.0,14.6,48,20.2,0,53,4.9,0.48,-0.11,0.38,24,3,175,6.6,2.4,3,0.4,601,30.2,3.7,40,834,56,81,73,horticola,aspersion,si,no,ecologico,1
CSC000878,25.5,35.9,18.5,72,33.5,58,114,9.2,0.59,0.5,0.54,13,1,215,5.8,1.5,19,0.1,305,28.2,0.8,37,1232,49,66,145,vid,goteo,no,si,convencional,0
CSC000879,18.5,26.0,10.6,78,24.0,49,115,10.6,0.65,0.46,0.23,41,3,154,6.1,2.6,29,1.42,148,9.1,3.1,10,1012,34,41,114,trigo,aspersion,no,si,convencional,0
CSC000880,21.9,30.7,14.8,56,18.1,7,29,2.0,0.77,-0.28,0.0,2,4,157,6.9,1.6,22,0.44,595,13.5,18.7,0,850,14,79,73,trigo,secano,si,no,ecologico,0
CSC000881,23.9,32.7,18.6,78,24.3,41,31,7.8,0.62,0.16,0.32,4,3,127,6.2,3.1,24,1.57,525,15.3,18.2,13,959,34,73,18,trigo,aspersion,no,no,convencional,0
CSC000882,20.9,27.6,13.2,74,29.5,44,112,9.0,0.6,0.28,0.45,2,2,230,7.2,0.7,15,1.99,238,4.0,12.0,17,1195,41,55,61,maiz,secano,no,si,convencional,0
CSC000883,16.1,23.4,6.7,59,18.2,27,48,3.0,0.77,-0.39,0.08,2,2,184,6.6,1.5,14,0.4,248,26.5,37.2,0,531,8,73,48,horticola,goteo,no,no,integrado,0
CSC000884,21.6,31.5,13.8,92,43.4,120,179,20.7,0.59,0.8,0.47,2,2,153,6.9,3.5,29,0.74,809,1.4,13.6,36,721,61,96,116,horticola,goteo,si,no,convencional,1
CSC000885,16.4,23.4,8.2,80,29.3,59,116,11.5,0.6,0.55,0.49,17,1,172,7.4,3.4,24,0.21,365,23.0,3.9,27,619,62,52,77,maiz,secano,no,no,convencional,1
CSC000886,20.9,29.6,13.1,30,8.3,0,5,0.0,0.65,-0.5,0.14,57,1,142,6.3,2.1,20,0.28,755,0.1,1.5,9,924,17,63,89,vid,aspersion,si,si,convencional,0
CSC000887,19.2,28.6,11.6,49,24.4,41,22,3.3,0.46,0.21,0.46,17,1,130,5.9,1.1,29,1.38,449,0.0,0.5,32,1229,56,67,130,horticola,secano,no,no,convencional,0
CSC000888,15.7,21.6,4.4,64,23.4,42,49,6.4,0.6,0.22,0.32,7,5,179,6.1,0.8,25,0.1,89,20.1,0.8,9,709,13,88,134,vid,secano,si,no,convencional,0
CSC000889,18.6,26.5,9.8,52,8.8,21,74,4.4,0.53,-0.2,0.48,31,3,217,6.5,2.5,20,1.48,656,10.8,9.0,24,714,48,72,41,trigo,goteo,no,no,integrado,0
CSC000890,12.7,17.7,2.6,39,19.1,21,7,2.8,0.55,-0.31,0.4,19,2,114,6.0,3.2,21,1.48,343,0.0,5.2,13,410,18,70,130,maiz,secano,no,no,integrado,0
CSC000891,20.9,29.9,13.7,62,13.1,39,79,6.0,0.7,0.05,0.18,2,7,133,5.6,2.5,27,0.42,565,6.0,2.9,16,888,32,100,80,trigo,secano,si,si,ecologico,0
CSC000892,25.0,34.3,19.9,78,35.3,92,158,13.0,0.59,0.52,0.41,7,5,245,6.8,2.1,26,0.94,663,0.0,13.0,26,947,55,80,78,maiz,aspersion,no,no,convencional,0
CSC000893,23.1,32.2,16.5,70,22.8,61,130,8.2,0.52,0.57,0.46,3,5,178,6.7,2.2,8,1.34,290,2.7,8.4,26,1220,63,61,116,vid,aspersion,no,no,integrado,0
CSC000894,15.9,23.7,6.1,40,11.9,32,34,5.1,0.74,-0.44,0.17,11,1,132,6.3,3.2,4,0.29,439,8.7,15.5,2,843,19,69,82,maiz,goteo,no,si,convencional,0
CSC000895,23.1,32.3,15.4,61,26.2,62,120,12.3,0.5,0.48,0.49,57,4,184,5.6,2.6,11,0.5,780,4.6,1.4,38,891,71,98,100,vid,aspersion,si,no,ecologico,0
CSC000896,18.4,25.2,8.7,50,8.1,4,50,2.1,0.76,-0.19,0.2,18,1,214,7.0,2.4,15,0.47,246,3.5,28.6,0,454,29,95,92,olivo,secano,si,si,integrado,0
CSC000897,23.9,32.7,18.7,100,33.3,86,158,18.2,0.39,0.8,0.66,6,2,234,6.5,2.3,15,0.45,494,8.6,3.8,55,656,91,62,87,horticola,aspersion,no,no,integrado,1
CSC000898,21.4,30.4,12.8,58,27.7,55,90,9.7,0.56,0.41,0.23,48,7,140,6.6,2.4,27,0.76,0,2.1,3.5,15,928,33,46,78,horticola,secano,si,si,integrado,0
CSC000899,24.7,34.3,17.4,73,29.3,51,71,11.0,0.65,0.22,0.38,23,2,284,6.2,1.9,29,0.14,432,24.2,12.4,18,1060,39,70,77,olivo,goteo,si,no,convencional,0
CSC000900,17.9,26.0,9.6,70,28.0,60,105,8.4,0.65,0.28,0.26,9,3,157,6.3,0.6,21,1.8,319,16.7,1.1,12,606,25,35,8,olivo,goteo,si,si,ecologico,0
CSC000901,19.3,24.4,10.3,41,18.2,17,95,0.0,0.67,-0.5,0.28,41,2,161,7.1,1.3,21,1.89,585,9.0,39.4,7,745,16,68,149,trigo,secano,no,si,ecologico,0
CSC000902,16.7,23.0,10.4,50,21.4,0,60,4.2,0.69,-0.43,0.23,12,0,228,6.4,1.4,11,0.55,365,7.1,4.6,4,796,37,81,108,olivo,aspersion,no,no,integrado,0
CSC000903,21.6,29.2,12.6,58,27.0,15,53,5.3,0.69,-0.03,0.13,5,1,167,6.7,3.8,26,1.56,494,7.7,11.6,0,1018,14,48,155,olivo,goteo,si,no,convencional,0
CSC000904,24.0,34.3,19.2,72,26.6,45,111,11.5,0.57,0.32,0.46,42,2,155,6.2,1.1,21,0.1,588,10.3,18.8,28,1224,53,74,122,maiz,goteo,no,no,ecologico,0
CSC000905,14.7,21.0,4.1,64,18.2,45,66,5.4,0.53,0.34,0.45,53,2,187,7.1,3.4,22,0.37,67,10.3,4.7,25,704,52,35,99,trigo,goteo,si,no,integrado,0
CSC000906,14.2,19.2,5.0,55,14.2,6,74,4.6,0.59,-0.09,0.02,7,7,177,6.8,1.0,34,0.64,235,6.7,3.8,9,360,29,83,97,maiz,aspersion,si,no,integrado,1
CSC000907,15.1,21.4,6.8,76,33.0,56,149,14.3,0.59,0.54,0.35,7,1,199,7.2,1.8,26,0.9,196,1.3,11.7,40,501,66,85,38,vid,goteo,si,no,convencional,0
CSC000908,10.9,15.0,3.1,22,5.0,0,0,0.0,0.72,-0.5,0.07,7,3,127,7.0,3.5,16,1.94,396,10.4,2.9,0,687,0,85,114,trigo,aspersion,si,si,convencional,0
CSC000909,21.4,31.8,14.0,79,24.8,67,176,9.8,0.63,0.3,0.5,2,1,207,6.6,0.5,30,0.65,254,0.6,2.5,20,833,38,69,156,trigo,aspersion,si,no,integrado,0
CSC000910,21.7,29.9,12.7,69,31.6,44,65,11.0,0.53,0.45,0.53,27,0,112,7.1,2.3,13,0.42,532,19.7,12.3,28,687,58,88,100,maiz,goteo,si,no,integrado,1
CSC000911,16.6,21.9,8.2,49,21.9,45,20,6.4,0.61,-0.19,0.35,16,2,221,6.3,2.3,2,0.45,463,0.0,0.4,17,680,41,92,133,olivo,goteo,si,no,integrado,0
CSC000912,22.9,30.1,14.0,48,14.3,23,54,4.1,0.68,-0.33,0.26,23,4,135,6.3,1.6,25,1.35,17,6.3,1.7,7,906,40,60,78,olivo,aspersion,si,si,convencional,0
CSC000913,24.4,33.2,17.0,68,20.3,35,91,9.7,0.59,0.2,0.46,24,1,168,6.1,1.8,18,0.48,404,15.2,16.6,19,993,36,88,140,maiz,goteo,no,si,convencional,0
CSC000914,22.8,34.3,14.8,91,26.7,52,174,13.0,0.6,0.74,0.51,22,1,210,7.1,1.6,17,1.98,527,4.9,25.9,25,780,43,79,120,maiz,secano,no,no,ecologico,0
CSC000915,21.6,26.9,14.2,91,31.1,74,152,21.7,0.56,0.8,0.46,12,4,168,5.5,2.0,17,1.49,502,14.6,5.5,40,961,70,64,95,maiz,goteo,no,no,ecologico,1
CSC000916,16.0,23.3,7.1,86,31.9,101,153,12.4,0.57,0.76,0.56,5,1,180,7.7,0.9,15,1.14,517,5.2,8.7,35,484,63,52,32,horticola,goteo,si,no,integrado,1
CSC000917,17.1,22.6,9.0,61,30.8,56,130,11.6,0.66,0.19,0.37,2,2,228,6.1,3.7,22,1.45,119,0.0,14.4,15,874,42,69,55,citricos,aspersion,si,no,ecologico,1
CSC000918,23.0,33.0,15.2,71,32.8,79,178,10.4,0.53,0.46,0.56,3,2,202,7.2,1.9,16,1.05,564,3.1,7.9,29,1092,52,77,132,trigo,aspersion,no,no,convencional,1
CSC000919,11.9,18.0,3.2,69,18.7,31,82,3.2,0.74,0.05,0.13,15,6,147,5.8,2.5,23,0.86,346,19.0,19.2,6,340,7,82,51,citricos,secano,si,no,convencional,1
CSC000920,24.6,33.9,16.3,94,40.9,89,198,14.3,0.6,0.8,0.48,25,1,227,6.4,1.2,18,1.18,10,10.1,11.7,34,1500,48,64,160,olivo,goteo,no,no,convencional,1
CSC000921,17.4,24.3,8.9,51,19.8,33,86,3.0,0.57,-0.01,0.38,27,1,222,6.8,1.7,26,1.3,193,2.0,3.0,17,780,24,71,93,maiz,aspersion,si,no,convencional,0
CSC000922,21.8,31.0,14.0,63,20.9,60,130,5.6,0.64,0.2,0.37,16,7,191,6.9,2.3,20,1.14,521,10.4,1.7,22,1055,41,70,102,trigo,goteo,no,si,integrado,0
CSC000923,12.4,17.2,4.3,79,27.6,108,110,16.5,0.6,0.8,0.69,10,1,186,6.1,1.8,18,0.38,442,4.2,1.2,38,240,74,91,112,vid,goteo,no,no,integrado,1
CSC000924,25.3,35.6,18.8,42,19.4,32,63,7.8,0.7,0.09,0.17,4,1,195,7.4,1.1,2,0.54,440,4.4,10.5,0,705,7,70,148,horticola,secano,si,si,integrado,0
CSC000925,15.6,24.8,7.4,68,25.0,25,115,8.0,0.8,0.13,0.36,5,0,127,6.2,1.9,36,0.12,835,0.0,16.5,3,648,27,63,99,olivo,aspersion,no,si,convencional,0
CSC000926,15.0,24.3,5.7,73,33.1,97,125,11.7,0.5,0.8,0.4,27,1,192,6.0,1.2,5,1.08,639,3.4,4.9,16,1092,59,78,96,horticola,goteo,si,no,integrado,0
CSC000927,16.7,25.0,8.9,58,17.8,41,68,9.1,0.62,0.15,0.49,41,3,175,6.9,2.4,22,0.89,829,5.5,14.2,27,968,29,79,44,trigo,goteo,si,no,integrado,0
CSC000928,17.0,25.1,8.7,75,27.1,38,110,14.7,0.73,0.35,0.3,15,4,204,7.0,2.5,31,0.72,637,9.1,26.1,6,773,13,70,19,vid,secano,si,no,convencional,0
CSC000929,23.2,30.0,17.1,54,19.8,20,0,2.4,0.68,-0.39,0.23,28,1,142,6.9,1.7,11,0.86,388,16.6,28.8,0,1069,10,77,9,vid,goteo,si,no,integrado,0
CSC000930,14.1,21.4,5.1,64,19.0,33,0,5.6,0.53,-0.1,0.35,5,1,98,6.4,3.7,28,0.58,545,11.4,10.0,20,929,57,80,110,maiz,secano,si,no,convencional,0
CSC000931,20.2,30.2,11.5,64,28.1,59,66,12.6,0.63,0.47,0.56,13,2,153,6.4,1.9,34,0.34,216,8.9,1.4,20,1028,57,46,21,trigo,aspersion,no,no,integrado,0
CSC000932,22.9,32.6,16.4,73,23.2,65,97,12.8,0.75,0.44,0.09,37,2,175,6.0,3.3,18,0.96,377,2.2,6.1,1,1098,7,66,95,maiz,goteo,si,si,ecologico,0
CSC000933,18.5,26.5,9.9,59,26.5,43,65,6.8,0.51,0.3,0.33,48,7,160,6.3,2.3,37,2.01,355,17.9,17.6,14,795,36,86,98,citricos,goteo,si,no,ecologico,0
CSC000934,25.7,33.9,17.8,80,32.7,46,137,13.6,0.51,0.68,0.67,45,4,206,6.7,2.9,33,0.65,748,6.7,28.3,50,1179,85,89,5,maiz,secano,no,no,convencional,0
CSC000935,22.8,31.3,16.4,100,38.0,119,173,19.4,0.57,0.8,0.49,14,3,249,6.2,2.8,33,0.29,411,9.7,13.6,42,1009,59,79,104,maiz,aspersion,si,si,integrado,0
CSC000936,15.1,21.0,5.0,51,26.6,23,73,3.7,0.61,-0.16,0.44,12,0,233,7.2,3.3,27,0.7,505,8.9,2.9,17,594,53,84,122,vid,goteo,si,no,integrado,0
CSC000937,17.4,25.0,6.6,38,18.6,26,11,0.0,0.75,-0.5,0.05,21,0,259,6.8,3.2,13,0.1,450,14.4,8.2,4,673,9,86,148,olivo,secano,si,si,convencional,0
CSC000938,17.0,24.2,8.4,87,34.1,79,139,11.0,0.55,0.52,0.42,28,4,252,6.5,1.4,13,1.26,566,0.0,20.8,38,504,71,61,54,trigo,aspersion,no,no,convencional,1
