id_especimen,longitud_total_mm,longitud_elitro_mm,anchura_max_mm,anchura_pronoto_mm,anchura_cabeza_mm,altura_cuerpo_mm,peso_mg,longitud_antena_mm,num_segmentos_antena,longitud_pata_posterior_mm,longitud_femur_mm,longitud_tibia_mm,longitud_ala_mm,envergadura_mm,num_manchas,diametro_mancha_mm,num_estrias_elitro,distancia_interocular_mm,diametro_ojo_mm,longitud_mandibula_mm,ratio_largo_ancho,ratio_antena_cuerpo,ratio_ala_cuerpo,area_dorsal_mm2,volumen_estimado_mm3,densidad_setas,intensidad_color,especie_invasora
INV000404,16.09,10.33,7.64,5.92,4.01,5.16,209,7.74,12,9.05,4.31,4.09,12.64,32.92,1,0.42,6,2.04,1.06,1.38,2.11,0.481,0.786,95.9,276.6,10,65,0
INV000405,10.07,6.36,4.51,3.48,2.06,3.02,10,5.49,11,5.71,2.68,2.44,8.72,21.95,4,0.61,7,1.14,0.67,1.22,2.23,0.545,0.866,35.4,102.2,22,118,1
INV000406,18.06,11.08,8.71,6.73,4.31,5.18,225,7.58,12,10.13,4.86,4.4,13.16,35.03,2,0.47,5,2.33,0.81,1.09,2.07,0.42,0.729,122.7,353.9,6,118,0
INV000407,22.69,14.08,9.91,7.74,5.17,6.7,355,10.29,14,12.63,5.72,5.71,18.22,46.35,5,0.63,9,2.64,1.1,2.12,2.29,0.454,0.803,175.4,505.9,11,122,1
INV000408,18.14,11.19,7.11,5.84,3.95,4.99,221,9.4,10,9.91,4.9,4.44,15.04,37.19,5,0.99,8,1.86,0.72,1.9,2.55,0.518,0.829,100.6,290.2,12,118,1
INV000409,12.96,8.09,6.62,5.14,3.46,3.89,84,5.87,13,8.32,4.14,3.82,10.08,26.78,6,0.66,7,1.7,1.12,1.3,1.96,0.453,0.778,66.9,193.0,3,65,0
INV000410,10.61,6.78,5.77,4.54,2.8,3.99,41,5.57,10,6.25,3.02,2.97,7.73,21.23,6,0.53,8,1.51,0.82,0.76,1.84,0.525,0.729,47.8,137.7,10,81,0
INV000411,15.23,8.91,7.16,5.39,3.66,4.64,122,7.36,11,8.48,3.82,3.6,11.41,29.98,6,0.42,9,1.73,1.03,1.29,2.13,0.483,0.749,85.1,245.4,11,118,0
INV000412,16.54,9.94,8.11,6.35,4.29,4.57,194,7.76,10,9.3,4.14,3.95,13.14,34.39,4,0.87,8,2.11,1.11,1.49,2.04,0.469,0.794,104.6,301.8,7,94,0
INV000413,15.17,9.13,6.3,5.12,3.24,4.07,163,6.58,8,8.92,4.14,3.61,12.8,31.9,5,0.53,9,1.6,1.21,1.36,2.41,0.434,0.844,74.5,215.0,16,99,0
INV000414,17.22,11.15,8.29,5.92,4.27,4.73,163,8.43,11,9.52,4.62,4.2,14.08,36.45,6,1.0,10,2.19,0.74,1.87,2.08,0.49,0.818,111.3,321.2,12,146,0
INV000415,21.93,13.83,7.02,5.61,3.49,5.34,246,10.98,10,10.94,4.78,4.42,17.8,42.62,14,1.65,14,1.94,1.3,2.7,3.12,0.501,0.812,120.1,346.4,28,198,1
INV000416,17.15,10.57,8.14,6.43,4.18,4.27,207,7.66,10,8.94,4.0,3.86,13.49,35.12,4,0.79,9,2.04,0.92,1.49,2.11,0.447,0.787,108.9,314.1,6,115,0
INV000417,12.48,8.0,6.37,4.82,3.39,4.32,90,7.35,10,8.39,4.16,3.57,10.92,28.21,7,0.96,8,1.58,0.7,1.33,1.96,0.589,0.875,62.0,178.9,4,112,0
INV000418,18.59,12.01,7.38,5.6,4.18,5.39,210,9.0,9,10.26,4.47,4.49,14.49,36.36,5,0.99,8,1.88,1.07,2.25,2.52,0.484,0.779,107.0,308.7,15,170,0
INV000419,16.52,10.34,5.87,4.33,2.94,4.34,164,9.4,11,9.11,4.27,3.83,13.89,33.65,9,1.24,10,1.49,0.68,1.92,2.81,0.569,0.841,75.6,218.2,13,221,1
INV000420,17.31,10.46,8.21,6.08,4.16,5.31,176,7.5,9,9.55,4.42,3.91,12.82,33.85,2,0.33,10,2.2,0.68,1.38,2.11,0.433,0.741,110.8,319.8,5,52,0
INV000421,15.73,9.89,6.78,5.57,3.36,4.83,130,8.9,10,8.21,3.7,3.46,14.14,35.06,5,1.18,7,1.96,0.82,1.53,2.32,0.566,0.899,83.2,240.0,10,133,0
INV000422,12.49,7.58,6.38,4.86,3.4,3.65,96,6.33,12,7.75,3.36,3.41,9.86,26.1,3,0.24,9,1.62,0.67,0.82,1.96,0.507,0.789,62.2,179.3,5,92,0
INV000423,20.24,12.74,6.9,5.38,3.64,5.08,229,10.37,9,10.87,5.04,4.36,15.26,37.42,10,1.19,11,1.81,1.09,2.01,2.93,0.512,0.754,108.9,314.2,13,168,1
INV000424,12.24,7.1,4.0,2.45,1.8,3.82,23,7.35,10,6.52,3.13,2.45,10.8,25.6,9,0.68,8,1.11,0.53,1.14,3.06,0.6,0.882,38.2,110.2,17,192,1
INV000425,18.04,11.06,7.15,5.46,3.5,4.57,163,8.94,11,9.58,3.99,3.97,13.94,35.03,5,1.05,8,1.87,0.8,2.04,2.52,0.496,0.773,100.6,290.2,18,137,1
INV000426,12.58,8.07,7.68,5.98,4.09,4.0,103,5.05,11,7.28,3.67,2.83,10.16,28.0,0,0.22,8,2.07,0.6,0.9,1.64,0.401,0.808,75.4,217.4,7,89,0
INV000427,8.12,5.18,5.41,4.26,3.1,2.63,10,3.96,10,5.24,2.7,2.17,7.82,21.05,4,0.51,6,1.6,1.3,0.63,1.5,0.488,0.963,34.3,98.8,5,130,0
INV000428,14.63,9.09,7.25,5.48,3.55,4.89,173,7.26,9,8.19,3.65,3.48,12.71,32.67,0,0.7,9,1.97,0.94,1.36,2.02,0.496,0.869,82.7,238.7,9,106,0
INV000429,13.85,8.9,6.3,5.03,3.33,3.58,75,6.71,10,7.48,3.62,2.9,11.3,28.9,7,0.82,9,1.56,0.77,1.49,2.2,0.484,0.816,68.1,196.3,11,100,0
INV000430,20.03,11.87,7.42,5.73,3.75,5.06,232,11.36,13,10.08,4.42,4.18,17.25,41.92,10,1.31,13,2.2,1.16,2.37,2.7,0.567,0.861,115.9,334.4,20,164,1
INV000431,18.57,11.34,7.41,5.84,3.99,5.08,256,9.92,11,10.0,4.53,4.35,15.87,39.15,7,0.93,11,1.91,1.0,2.11,2.51,0.534,0.855,107.3,309.6,19,84,1
INV000432,13.03,8.37,6.1,4.5,3.22,3.89,47,5.92,12,7.55,3.43,3.36,10.26,26.62,6,0.57,7,1.43,1.27,1.21,2.14,0.454,0.787,62.0,178.8,8,114,0
INV000433,15.13,9.5,7.35,5.75,3.78,5.15,179,8.56,10,9.11,4.35,4.02,14.13,35.61,8,0.96,9,2.05,1.25,1.81,2.06,0.566,0.934,86.7,250.2,15,140,0
INV000434,19.34,12.06,8.35,6.55,4.04,5.19,240,9.6,9,9.91,4.46,4.22,15.33,39.01,6,0.83,10,2.18,0.65,2.01,2.32,0.496,0.793,126.0,363.4,7,130,0
INV000435,14.25,8.98,5.35,3.98,2.68,4.05,98,7.59,11,7.57,3.51,3.02,12.06,29.47,7,1.17,12,1.33,0.63,1.73,2.66,0.533,0.846,59.5,171.5,18,150,0
INV000436,19.85,12.07,7.13,6.1,3.7,5.63,281,9.84,10,10.83,5.02,4.6,16.3,39.73,10,1.34,11,2.01,1.39,2.45,2.78,0.496,0.821,110.4,318.4,18,171,1
INV000437,19.09,12.14,5.73,4.3,3.15,4.71,193,9.79,9,9.53,4.16,3.93,14.67,35.07,11,1.11,12,1.44,0.74,2.09,3.33,0.513,0.768,85.3,246.1,20,197,1
INV000438,13.22,8.25,6.71,5.24,3.5,4.02,125,5.19,10,8.42,4.32,3.41,10.67,28.05,1,0.6,9,1.89,0.75,1.2,1.97,0.393,0.807,69.2,199.6,8,77,0
INV000439,16.24,10.15,6.53,4.86,3.25,4.1,165,8.4,9,9.1,4.07,3.9,13.86,34.25,7,0.89,9,1.61,0.57,1.4,2.49,0.517,0.853,82.7,238.6,12,114,0
INV000440,16.66,10.65,7.81,6.0,3.9,4.97,202,8.51,10,8.39,3.85,3.38,13.53,34.87,5,0.78,10,2.18,0.88,1.98,2.13,0.511,0.812,101.5,292.8,13,133,0
INV000441,19.21,12.02,8.58,6.93,4.68,5.52,258,8.76,11,10.31,4.44,4.65,16.13,40.84,5,0.48,6,2.33,0.65,1.74,2.24,0.456,0.84,128.6,370.8,11,144,0
INV000442,18.5,11.72,6.47,5.35,3.29,4.98,211,9.75,10,10.14,4.7,4.38,15.69,37.85,8,1.21,10,1.64,1.08,1.99,2.86,0.527,0.848,93.4,269.3,19,202,0
INV000443,12.04,7.26,6.53,5.01,3.42,3.96,86,6.04,11,7.97,3.42,3.24,9.52,25.57,2,0.39,8,1.63,0.95,0.8,1.84,0.502,0.791,61.3,176.9,0,36,0
INV000444,12.74,7.94,4.76,3.6,2.33,3.7,50,6.31,10,6.28,2.88,2.97,10.19,25.14,10,0.78,11,1.28,0.8,1.52,2.68,0.495,0.8,47.3,136.4,16,166,0
INV000445,11.95,7.69,5.95,4.58,3.17,3.77,45,5.6,12,6.88,3.27,3.12,8.74,23.43,4,0.71,8,1.66,0.94,1.38,2.01,0.469,0.731,55.5,160.0,9,85,0
INV000446,16.04,10.09,8.22,6.51,4.39,4.55,184,7.67,11,9.41,4.37,3.84,13.16,34.54,3,0.57,8,2.16,1.48,1.24,1.95,0.478,0.82,102.8,296.7,9,67,0
INV000447,18.43,11.41,7.7,5.78,4.02,5.07,213,8.85,11,9.52,4.21,3.99,13.17,34.04,5,0.72,9,2.0,0.81,1.71,2.39,0.48,0.715,110.7,319.3,13,114,0
INV000448,17.8,11.18,6.51,5.04,3.37,4.61,177,9.25,10,9.69,4.34,4.13,13.92,34.35,7,0.79,9,1.62,1.23,1.75,2.73,0.52,0.782,90.4,260.7,13,166,1
INV000449,15.41,9.55,6.15,4.32,3.25,4.76,146,8.51,8,8.69,3.64,3.14,13.74,33.63,7,1.16,10,1.58,0.96,1.65,2.51,0.552,0.892,73.9,213.2,15,175,0
INV000450,13.16,8.51,6.98,5.9,3.45,3.21,123,6.45,11,8.46,3.74,3.14,10.94,28.86,4,0.36,7,1.71,0.51,1.3,1.89,0.49,0.831,71.6,206.7,9,129,0
INV000451,18.92,11.5,6.64,5.43,3.28,4.98,214,9.17,11,10.31,4.93,4.28,13.91,34.46,5,0.85,8,1.48,0.7,1.73,2.85,0.485,0.735,98.0,282.7,12,154,0
INV000452,16.76,10.97,6.85,5.42,3.69,4.28,174,8.71,13,10.23,4.54,4.06,14.46,35.77,9,1.24,9,1.83,1.14,1.74,2.45,0.52,0.863,89.5,258.3,19,89,0
INV000453,19.71,12.02,7.94,6.06,4.13,5.03,260,9.92,11,11.16,5.17,4.74,15.72,39.38,8,0.86,9,2.02,1.02,2.12,2.48,0.503,0.798,122.1,352.1,13,100,1
INV000454,19.61,11.94,9.26,7.29,4.73,5.4,277,9.28,10,10.73,4.85,4.26,14.96,39.18,2,0.44,8,2.37,0.94,1.81,2.12,0.473,0.763,141.6,408.6,14,133,0
INV000455,14.53,9.21,5.99,4.67,2.94,3.73,145,7.45,10,7.72,3.55,3.16,12.47,30.93,5,0.66,9,1.46,1.0,1.32,2.43,0.513,0.858,67.9,195.8,8,130,0
INV000456,17.38,10.64,5.94,4.42,3.24,4.9,152,9.1,9,10.07,4.47,3.6,15.06,36.06,8,1.51,12,1.38,1.21,2.04,2.93,0.524,0.867,80.5,232.3,20,208,1
INV000457,17.37,10.66,6.11,4.44,3.28,4.46,176,9.89,9,9.01,3.97,3.64,14.79,35.69,11,1.5,10,1.57,0.96,2.31,2.84,0.569,0.851,82.8,238.8,15,174,1
INV000458,17.13,10.8,7.24,5.78,3.84,4.75,158,8.43,13,9.14,4.43,3.86,13.33,33.9,8,0.87,7,2.01,0.93,1.67,2.37,0.492,0.778,96.7,279.0,11,105,0
INV000459,17.25,10.48,6.62,5.28,3.62,4.58,170,9.41,10,8.09,3.7,3.42,14.24,35.1,10,1.09,9,1.82,1.11,1.97,2.61,0.546,0.826,89.1,256.9,16,163,0
INV000460,18.13,10.89,8.55,6.63,4.27,5.27,260,9.04,11,10.85,5.2,4.18,15.38,39.31,6,0.8,8,2.28,0.99,1.77,2.12,0.499,0.848,120.9,348.8,8,97,0
INV000461,17.07,10.95,6.61,4.86,3.34,5.45,181,9.0,9,8.84,4.07,3.99,14.56,35.73,10,1.3,13,1.73,1.26,2.2,2.58,0.527,0.853,88.0,253.9,19,243,1
INV000462,21.39,13.18,8.86,6.85,4.49,5.2,314,10.68,12,10.47,4.79,4.53,17.18,43.22,7,0.74,10,2.25,0.77,1.95,2.41,0.499,0.803,147.8,426.4,4,85,1
INV000463,14.01,8.51,6.31,4.84,3.65,4.22,127,7.89,8,8.07,3.71,3.22,12.7,31.71,8,1.06,10,1.76,0.71,1.73,2.22,0.563,0.906,69.0,198.9,12,130,0
INV000464,16.18,10.05,7.17,5.76,3.7,4.58,176,9.06,9,10.1,4.8,4.39,14.6,36.37,4,0.79,11,1.73,0.76,1.73,2.26,0.56,0.902,90.5,261.0,18,138,0
INV000465,17.85,10.72,7.82,5.77,4.03,5.15,199,9.68,9,9.99,4.64,4.12,14.0,35.82,7,0.89,8,1.95,0.95,1.66,2.28,0.542,0.784,108.9,314.1,11,164,0
INV000466,15.98,9.72,6.44,5.03,3.46,4.15,158,8.67,9,8.49,3.83,3.7,13.29,33.02,6,0.69,8,1.67,1.0,1.55,2.48,0.543,0.832,80.3,231.6,22,100,0
INV000467,14.51,9.15,7.26,5.47,3.57,3.97,128,7.92,11,8.56,3.94,3.38,13.84,34.94,9,0.79,11,1.92,0.56,2.27,2.0,0.546,0.954,82.2,237.0,12,178,0
INV000468,11.2,6.85,4.12,3.4,1.94,3.1,10,6.21,9,5.27,2.19,1.92,9.28,22.68,10,1.2,13,1.24,0.75,1.4,2.72,0.554,0.829,36.0,103.8,17,158,0
INV000469,16.5,10.47,7.22,5.78,3.98,4.78,189,8.6,11,9.23,4.31,4.01,14.32,35.86,7,1.06,10,1.84,0.8,2.09,2.29,0.521,0.868,92.9,268.0,18,127,0
INV000470,20.46,12.7,7.91,5.91,4.42,5.08,273,10.16,9,10.45,4.76,4.33,16.04,39.99,8,1.04,10,2.07,0.76,1.96,2.59,0.497,0.784,126.2,364.1,14,137,1
INV000471,16.59,10.23,6.85,5.51,3.66,4.17,208,8.16,8,9.39,4.32,4.14,14.37,35.59,10,0.97,9,1.71,0.59,1.92,2.42,0.492,0.866,88.6,255.7,10,180,1
INV000472,13.01,7.95,4.06,3.21,2.1,3.69,86,8.15,8,6.94,2.99,2.82,10.99,26.04,12,1.16,12,1.04,0.89,1.97,3.2,0.626,0.845,41.2,118.8,19,157,0
INV000473,21.94,14.02,8.51,6.55,4.53,6.02,361,11.23,9,11.56,5.36,4.81,17.84,44.19,10,0.93,10,2.18,0.82,2.59,2.58,0.512,0.813,145.6,420.1,14,143,1
INV000474,14.63,9.05,7.46,6.07,3.86,3.68,130,7.94,10,8.94,3.84,3.57,11.51,30.48,4,0.61,6,1.88,0.81,1.72,1.96,0.543,0.787,85.1,245.6,8,102,0
INV000475,19.33,11.67,7.07,5.33,3.78,5.03,262,10.51,12,10.84,5.12,4.78,17.23,41.53,10,1.07,11,1.86,0.93,2.15,2.73,0.544,0.891,106.6,307.5,15,102,0
INV000476,21.11,13.33,7.39,5.91,3.51,5.1,267,10.07,10,11.06,4.95,4.72,17.24,41.87,8,1.16,12,1.74,0.64,1.94,2.86,0.477,0.817,121.7,351.0,17,163,0
INV000477,16.92,10.18,7.3,5.72,3.73,4.57,162,8.94,9,9.59,4.48,3.96,13.82,34.94,5,1.06,10,1.95,1.07,1.86,2.32,0.528,0.817,96.3,277.9,18,88,0
INV000478,20.04,12.75,8.7,6.96,4.51,5.73,293,9.68,9,10.73,4.96,4.35,16.04,40.78,5,0.65,10,2.26,0.99,1.68,2.3,0.483,0.8,136.0,392.3,7,112,0
INV000479,16.77,10.24,7.38,5.85,3.66,5.06,197,9.64,12,9.17,4.35,3.67,15.21,37.8,6,0.79,7,1.98,0.96,1.88,2.27,0.575,0.907,96.5,278.5,7,130,0
INV000480,14.4,8.95,6.32,4.97,3.38,3.75,107,6.54,10,8.29,3.65,3.58,11.7,29.72,4,0.77,8,1.6,0.8,1.47,2.28,0.454,0.812,71.0,204.8,11,140,0
INV000481,13.18,8.17,6.55,5.05,3.2,3.83,98,8.08,10,7.16,3.29,3.22,10.27,27.09,2,0.66,7,1.61,0.51,1.36,2.01,0.613,0.779,67.3,194.2,10,126,0
INV000482,16.9,10.47,6.92,5.83,3.56,4.37,199,7.35,10,9.49,4.37,4.02,13.9,34.72,7,0.77,11,1.86,0.88,1.55,2.44,0.435,0.822,91.2,263.1,10,105,0
INV000483,14.93,9.57,6.51,4.97,3.29,4.1,142,7.57,8,8.41,3.75,3.34,12.17,30.85,5,0.86,9,1.69,0.98,1.54,2.29,0.507,0.815,75.8,218.7,14,168,0
INV000484,16.2,9.95,8.21,6.46,4.2,5.58,210,7.72,9,10.12,4.58,4.06,13.49,35.19,5,0.56,8,2.29,0.8,1.25,1.97,0.477,0.833,103.7,299.3,8,121,0
INV000485,15.69,10.37,8.14,6.51,4.42,4.3,148,7.58,9,8.82,4.04,3.95,13.17,34.48,8,0.36,6,2.06,0.72,1.55,1.93,0.483,0.839,99.6,287.4,12,69,0
INV000486,17.61,11.13,7.54,5.71,4.0,4.7,179,8.74,10,9.5,4.36,4.02,13.96,35.46,5,0.76,9,2.0,0.87,1.82,2.34,0.496,0.793,103.6,298.8,8,127,1
INV000487,13.69,8.58,6.64,4.91,3.54,3.94,87,6.7,9,7.81,3.4,3.32,11.26,29.16,5,0.76,9,1.61,0.72,1.23,2.06,0.489,0.822,70.9,204.5,6,60,0
INV000488,15.65,9.45,5.86,4.84,3.04,4.56,130,8.79,11,8.37,3.71,3.63,14.3,34.46,12,1.28,10,1.47,1.27,1.9,2.67,0.562,0.914,71.5,206.3,19,190,0
INV000489,13.3,8.34,5.63,4.1,2.94,2.81,74,6.81,11,8.58,3.95,3.32,10.94,27.51,6,0.78,8,1.52,0.76,1.55,2.36,0.512,0.823,58.4,168.5,17,134,0
INV000490,15.04,9.3,6.02,4.46,3.07,4.3,141,7.26,9,8.03,3.73,3.51,12.8,31.62,6,0.98,11,1.56,0.75,1.92,2.5,0.483,0.851,70.6,203.7,15,183,0
INV000491,17.65,10.88,8.86,6.99,4.52,5.25,220,7.75,12,9.81,4.46,4.18,13.35,35.56,3,0.57,8,2.26,1.09,1.17,1.99,0.439,0.756,122.0,351.9,3,78,0
INV000492,18.02,11.11,7.78,6.08,3.61,4.73,267,7.92,10,10.5,4.8,4.41,13.5,34.78,3,0.55,8,1.87,0.89,1.49,2.32,0.44,0.749,109.4,315.4,7,141,0
INV000493,15.51,9.32,7.07,5.35,3.59,4.31,142,6.84,11,8.51,3.77,3.88,12.16,31.39,2,0.57,9,1.68,1.06,1.41,2.19,0.441,0.784,85.5,246.7,15,38,0
INV000494,19.5,11.66,8.94,7.23,4.57,5.32,307,9.98,9,11.67,5.26,4.79,16.8,42.54,7,0.64,9,2.26,0.91,2.09,2.18,0.512,0.862,136.0,392.2,13,120,1
INV000495,16.98,10.68,7.32,5.71,3.83,4.65,177,8.68,9,8.94,4.1,3.46,13.94,35.2,6,0.6,8,2.05,0.94,1.56,2.32,0.511,0.821,96.9,279.7,14,82,0
INV000496,18.64,11.75,7.98,6.09,4.43,5.04,271,9.18,13,10.81,4.72,4.61,15.36,38.7,7,0.73,7,2.12,0.91,1.66,2.34,0.492,0.824,116.0,334.7,13,132,0
INV000497,19.07,11.74,9.92,7.79,5.05,5.78,273,8.11,10,11.53,5.09,4.77,15.46,40.84,0,0.34,6,2.48,0.5,1.72,1.92,0.425,0.811,147.6,425.6,1,89,0
INV000498,13.36,8.05,8.57,6.52,4.81,4.41,174,5.86,12,8.74,4.13,3.53,11.45,31.47,0,0.21,4,2.37,0.8,0.9,1.56,0.439,0.857,89.3,257.6,0,66,0
INV000499,13.82,8.58,6.13,4.66,3.43,3.86,93,8.1,12,6.98,3.37,3.03,11.85,29.83,5,0.96,12,1.44,0.9,1.53,2.25,0.586,0.857,66.1,190.6,19,106,0
INV000500,13.55,8.27,6.4,4.8,3.18,3.94,116,6.11,8,8.07,4.03,3.25,10.53,27.46,5,0.43,5,1.79,1.08,1.16,2.12,0.451,0.777,67.6,195.1,1,55,0
INV000501,16.43,9.81,6.42,4.86,3.21,4.26,171,8.13,11,9.15,4.29,3.77,12.51,31.44,5,0.9,10,1.76,0.46,1.65,2.56,0.495,0.761,82.3,237.3,15,134,0
INV000502,19.25,11.83,6.93,5.48,3.67,5.05,237,10.61,9,10.12,4.9,4.55,15.72,38.37,10,1.26,10,1.85,0.48,1.92,2.78,0.551,0.817,104.1,300.2,17,169,0
INV000503,18.83,11.46,7.09,5.43,3.7,5.25,277,10.03,9,10.67,4.94,4.52,16.85,40.79,9,1.23,13,1.92,1.01,2.04,2.66,0.533,0.895,104.1,300.4,21,174,0
INV000504,17.96,11.31,6.27,5.15,3.06,5.02,161,9.1,9,9.42,4.43,3.77,13.45,33.17,9,1.14,11,1.7,0.36,1.72,2.86,0.507,0.749,87.8,253.4,15,194,0
INV000505,27.07,16.92,9.95,7.47,5.28,6.07,440,14.22,13,13.93,6.35,6.11,21.68,53.31,11,1.24,11,2.56,1.19,3.1,2.72,0.525,0.801,210.1,606.0,17,216,1
INV000506,16.3,9.91,7.06,5.44,3.75,4.16,119,7.9,11,7.98,3.54,3.51,12.85,32.76,9,0.91,10,1.96,1.04,1.74,2.31,0.485,0.788,89.8,258.9,14,145,0
INV000507,15.31,9.68,6.21,4.79,3.43,4.34,144,7.1,10,8.76,4.23,3.63,11.99,30.19,6,0.56,9,1.55,0.76,1.52,2.47,0.464,0.783,74.2,213.9,8,134,0
INV000508,16.41,10.01,5.94,4.52,3.28,4.71,165,9.23,11,8.63,3.83,3.47,14.62,35.18,10,1.28,12,1.94,1.01,1.69,2.76,0.562,0.891,76.0,219.3,17,135,0
INV000509,20.32,12.94,7.68,6.26,3.81,5.11,290,10.95,10,11.31,5.16,4.89,16.57,40.82,12,1.27,11,2.08,1.12,2.26,2.65,0.539,0.815,121.7,351.1,19,137,1
INV000510,12.49,7.77,4.82,3.83,2.4,3.71,89,7.7,9,7.44,3.51,2.93,10.92,26.66,8,0.96,12,1.28,0.88,1.45,2.59,0.616,0.874,47.0,135.5,15,115,0
INV000511,12.37,8.11,5.06,3.69,2.83,3.76,21,6.31,10,6.12,2.77,2.74,8.94,22.94,11,0.83,10,1.18,0.83,1.08,2.44,0.51,0.723,48.8,140.8,18,88,0
INV000512,11.81,7.5,5.3,4.08,2.53,3.49,62,6.38,11,6.94,3.16,2.91,9.66,24.62,4,0.89,9,1.53,0.98,1.17,2.23,0.54,0.818,48.8,140.8,10,112,0
INV000513,16.94,10.39,8.11,6.45,4.07,4.65,154,7.97,8,9.99,4.4,4.05,14.02,36.15,5,0.67,6,2.1,1.25,1.82,2.09,0.47,0.828,107.2,309.1,12,147,0
INV000514,22.86,14.28,9.67,7.92,5.05,6.19,346,11.72,10,12.78,6.13,5.54,18.16,45.99,6,0.76,8,2.35,0.63,2.0,2.36,0.513,0.794,172.4,497.4,11,134,1
INV000515,15.23,9.75,7.04,5.43,3.43,4.48,191,7.51,11,8.85,4.31,3.66,11.83,30.7,3,0.97,7,1.78,0.77,1.52,2.16,0.493,0.777,83.6,241.2,12,93,0
INV000516,17.38,10.74,5.87,4.51,2.94,4.48,193,8.9,10,8.67,3.95,3.58,14.02,33.91,8,0.98,11,1.37,1.52,1.93,2.96,0.512,0.807,79.6,229.5,20,187,0
INV000517,14.59,9.04,3.78,3.0,1.93,3.2,87,8.8,9,6.55,3.15,2.49,13.21,30.2,14,1.51,13,0.78,0.97,1.9,3.86,0.603,0.905,43.0,124.1,19,212,1
INV000518,13.8,8.69,5.63,4.08,2.97,4.09,114,7.75,9,7.68,3.47,3.2,11.64,28.91,7,0.83,9,1.58,1.16,1.41,2.45,0.562,0.843,60.6,174.8,13,165,0
INV000519,20.04,12.15,9.42,7.49,4.88,6.15,305,9.36,9,12.2,5.82,5.27,16.32,42.06,3,0.28,10,2.5,0.98,1.71,2.13,0.467,0.814,147.2,424.7,8,109,0
INV000520,14.85,9.33,6.29,4.44,3.43,4.36,148,8.06,10,9.48,4.44,4.28,11.15,28.59,5,1.05,10,1.57,1.15,1.4,2.36,0.543,0.751,72.9,210.2,11,83,0
INV000521,17.58,10.8,7.38,6.13,3.82,4.11,231,8.66,11,9.78,4.75,3.94,14.64,36.66,10,0.99,11,1.96,1.07,2.12,2.38,0.493,0.833,101.2,291.9,10,106,0
INV000522,13.49,8.61,5.01,3.48,2.47,3.39,52,6.5,9,7.35,3.33,3.26,10.06,25.13,3,0.64,9,1.18,1.17,1.06,2.69,0.482,0.746,52.7,152.1,7,114,0
INV000523,13.76,8.98,6.27,4.74,3.13,4.37,108,6.72,11,8.46,3.81,3.45,11.86,29.99,6,0.92,10,1.52,0.87,1.46,2.19,0.488,0.862,67.3,194.1,6,134,0
INV000524,22.21,14.09,9.22,7.31,4.74,5.67,335,10.52,8,12.46,5.72,4.99,18.25,45.72,8,0.87,9,2.53,0.82,2.2,2.41,0.474,0.822,159.7,460.7,16,135,1
INV000525,18.06,11.21,7.71,6.04,3.91,5.05,275,9.03,11,10.26,4.67,4.37,15.32,38.35,4,0.79,11,2.21,1.23,2.16,2.34,0.5,0.848,108.6,313.3,12,134,0
INV000526,13.91,8.76,5.25,4.18,2.91,3.7,68,7.52,10,6.84,2.7,2.95,10.92,27.09,10,1.05,11,1.45,0.75,1.81,2.65,0.541,0.785,57.0,164.3,14,85,0
INV000527,15.78,9.67,7.23,5.9,3.71,4.3,144,7.3,12,9.04,4.09,3.89,12.16,31.55,4,0.69,9,1.83,0.99,1.51,2.18,0.463,0.771,89.0,256.7,8,147,0
INV000528,9.76,6.11,4.22,3.48,2.09,2.59,10,5.01,10,6.43,3.01,2.71,8.94,22.1,7,0.68,10,1.18,0.53,1.09,2.31,0.513,0.916,32.1,92.7,13,84,0
INV000529,13.8,8.42,6.74,5.47,3.2,4.19,90,7.09,10,7.19,2.99,3.05,11.61,29.96,4,0.6,7,1.84,0.69,1.31,2.05,0.514,0.841,72.5,209.3,14,115,0
INV000530,15.93,9.76,7.44,6.34,3.8,4.71,193,7.31,11,10.48,4.88,4.04,12.19,31.82,6,0.73,10,1.91,1.06,1.65,2.14,0.459,0.765,92.4,266.7,15,97,0
INV000531,12.29,7.27,6.78,5.21,3.85,4.32,93,5.89,12,8.45,3.85,3.48,9.8,26.38,2,0.62,7,1.85,0.83,0.9,1.81,0.479,0.797,65.0,187.5,10,91,0
INV000532,16.73,10.43,8.36,6.63,4.22,5.38,207,7.43,9,9.76,4.37,4.05,12.75,33.86,2,0.44,7,2.28,1.25,1.59,2.0,0.444,0.762,109.1,314.7,9,81,0
INV000533,15.24,9.9,6.38,4.78,3.16,4.59,172,8.39,10,8.58,4.22,3.61,12.15,30.68,7,0.85,11,1.68,1.27,1.31,2.39,0.551,0.797,75.8,218.8,14,104,0
INV000534,17.94,11.31,6.89,5.51,3.61,4.67,207,9.98,9,9.31,4.37,3.81,15.23,37.35,7,0.87,12,1.96,1.22,2.29,2.6,0.556,0.849,96.4,278.1,15,207,1
INV000535,19.62,12.13,9.32,7.33,4.67,5.06,231,9.57,11,11.02,5.03,4.38,15.92,41.16,3,1.02,7,2.32,1.34,2.22,2.11,0.488,0.811,142.6,411.4,14,185,0
INV000536,15.69,9.97,6.48,4.9,3.31,4.63,178,7.47,9,8.74,4.2,3.89,13.61,33.7,7,1.01,7,1.74,1.11,1.53,2.42,0.476,0.867,79.3,228.8,13,127,0
