id_parcela,ph_suelo,materia_organica_pct,carbono_organico_pct,nitrogeno_ppm,fosforo_ppm,potasio_ppm,calcio_ppm,magnesio_ppm,azufre_ppm,conductividad_electrica,cic,caliza_activa_pct,arcilla_pct,arena_pct,limo_pct,humedad_suelo_pct,capacidad_campo_pct,profundidad_suelo_cm,pendiente_pct,altitud_m,precipitacion_anual_mm,temp_media_c,temp_min_invierno_c,temp_max_verano_c,radiacion_anual,evapotranspiracion_mm,indice_aridez,orientacion,tipo_suelo
PAR001068,8.0,2.3,1.28,24,,180,1895,216.0,8.5,1.08,15.2,18.5,25.1,46.0,28.9,19.2,28.3,87.0,,179.0,269,20.0,10.0,38.1,1889,1071.0,0.24,O,arcilloso
PAR001069,6.9,3.4,1.92,28,27.0,179,2020,323.0,18.2,0.76,26.0,4.8,25.6,42.5,31.9,30.5,26.1,103.0,0.0,98.0,554,18.7,7.6,32.8,2136,966.0,0.52,N,arenoso
PAR001070,5.3,2.5,,27,23.0,165,1707,241.0,16.7,0.41,20.0,0.8,22.3,32.7,45.0,34.8,27.2,52.0,7.8,869.0,724,11.1,-0.8,24.9,1265,606.0,1.26,N,franco
PAR001071,7.2,2.9,1.77,27,28.0,192,2412,325.0,19.1,0.73,20.1,6.1,32.5,49.8,,30.6,25.9,81.0,6.7,291.0,595,18.0,7.8,34.4,1859,1063.0,0.61,O,franco
PAR001072,7.8,2.1,1.43,15,15.0,135,1313,243.0,12.3,1.55,19.5,18.1,24.0,43.9,32.1,29.1,18.1,47.0,0.4,34.0,523,21.5,10.7,37.4,1882,1189.0,0.42,N,arcilloso
PAR001073,6.7,3.9,,37,31.0,201,2527,327.0,19.7,0.71,24.2,4.4,32.3,32.1,35.6,29.0,28.4,76.0,6.3,418.0,541,14.7,3.5,28.2,1663,800.0,0.62,E,franco
PAR001074,5.7,3.5,2.09,31,19.0,177,1193,243.0,16.8,0.1,26.8,0.0,29.9,40.0,30.1,35.3,31.2,86.0,12.7,887.0,802,8.3,-6.1,20.0,900,526.0,1.55,O,franco
PAR001075,8.0,0.7,0.55,4,10.0,80,1921,70.0,7.1,1.7,,19.6,26.6,42.3,31.1,27.6,20.3,28.0,4.0,243.0,466,21.0,10.8,36.7,1917,1151.0,0.39,N,arcilloso
PAR001076,7.8,1.8,1.04,19,18.0,159,1691,209.0,7.7,1.45,18.4,17.5,27.1,53.4,19.5,25.6,24.7,48.0,7.4,383.0,311,19.0,6.9,,1696,1036.0,0.3,E,arenoso
PAR001077,5.6,3.0,1.78,35,25.0,219,2005,237.0,20.1,0.27,23.1,0.0,28.6,24.7,46.7,29.5,25.8,64.0,12.7,774.0,735,10.2,-3.2,26.5,1166,665.0,1.07,S,franco
PAR001078,6.6,2.9,1.5,27,,202,1604,193.0,16.3,0.46,19.0,2.6,24.0,27.2,48.8,28.2,26.2,,2.6,352.0,601,19.3,9.9,,1924,965.0,0.54,E,arcilloso
PAR001079,7.0,3.1,1.71,33,26.0,200,2100,262.0,15.2,0.81,20.9,7.8,28.7,29.7,,27.8,26.9,70.0,7.4,270.0,592,18.0,9.0,32.0,1769,1025.0,0.56,E,franco
PAR001080,7.9,2.0,1.49,22,14.0,178,2708,165.0,13.2,1.81,,16.9,31.1,42.5,26.4,26.8,22.6,80.0,5.9,121.0,425,20.0,9.9,34.1,2152,1149.0,0.38,O,franco
PAR001081,6.9,1.7,1.34,17,17.0,118,1815,172.0,11.2,0.65,16.8,3.1,27.2,32.4,40.4,32.6,31.7,51.0,4.6,435.0,714,17.1,4.1,30.9,1612,956.0,0.84,S,calcareo
PAR001082,8.1,2.7,1.64,18,22.0,200,2104,230.0,14.5,1.82,25.4,19.4,31.2,34.7,,31.9,27.8,88.0,2.9,,515,18.6,5.9,36.7,1911,1022.0,0.44,S,calcareo
PAR001083,4.9,2.8,1.62,28,15.0,192,1424,253.0,,0.56,22.9,0.0,29.3,36.7,34.0,34.0,30.3,44.0,,1175.0,646,8.7,-4.1,23.2,1101,545.0,1.17,S,franco
PAR001084,7.6,1.2,0.72,15,10.0,96,1690,158.0,11.7,1.67,18.5,17.8,29.9,47.9,22.2,25.4,22.8,83.0,4.0,208.0,253,19.9,9.5,38.2,1931,1081.0,0.21,S,arcilloso
PAR001085,7.7,2.5,1.53,14,,163,1622,294.0,15.8,2.09,21.3,16.6,21.6,49.3,29.1,27.5,32.0,50.0,0.0,278.0,572,19.3,9.2,36.9,1955,1064.0,0.57,O,calcareo
PAR001086,7.1,1.5,0.75,16,16.0,175,1342,178.0,8.1,0.62,14.8,4.5,17.2,57.4,25.4,25.1,18.2,45.0,8.5,384.0,463,15.6,3.2,30.3,1718,811.0,0.59,E,franco
PAR001087,8.2,1.0,0.37,9,6.0,147,1347,207.0,3.7,1.78,17.2,20.0,15.5,54.1,30.4,32.0,15.2,61.0,4.3,20.0,528,20.4,10.5,37.3,1741,1084.0,0.42,S,arcilloso
PAR001088,6.8,3.1,1.89,21,28.0,223,1900,350.0,12.8,0.6,27.3,1.9,32.0,51.4,16.6,29.6,25.2,57.0,6.6,392.0,629,15.1,2.4,28.0,1936,878.0,0.79,O,calcareo
PAR001089,5.6,3.6,2.23,30,23.0,225,1650,307.0,,0.41,27.3,0.0,22.9,43.9,33.2,37.1,25.5,60.0,,901.0,916,9.4,-3.0,22.9,1114,583.0,1.63,N,franco
PAR001090,5.7,2.3,1.52,26,,208,1683,283.0,15.3,0.45,,0.7,30.6,29.2,40.2,32.7,25.5,54.0,8.9,965.0,826,12.1,-1.8,25.9,1500,730.0,1.1,S,franco
PAR001091,6.8,4.4,2.41,41,37.0,244,2254,,20.9,0.97,25.6,4.3,23.1,47.1,29.8,24.7,29.5,96.0,4.2,492.0,497,18.2,6.2,34.6,1902,1009.0,0.48,N,arcilloso
PAR001092,6.6,2.0,1.28,21,11.0,144,1671,266.0,,0.59,22.3,3.2,30.0,38.7,31.3,23.3,24.7,67.0,11.8,535.0,490,17.1,6.6,29.5,1834,966.0,0.44,E,calcareo
PAR001093,6.9,3.3,1.98,36,27.0,205,2249,288.0,21.2,0.6,19.9,9.3,18.5,55.4,,24.9,26.2,86.0,5.3,387.0,608,17.9,5.3,32.3,1762,1013.0,0.54,S,franco
PAR001094,7.1,4.1,2.29,40,28.0,230,2553,370.0,23.4,0.95,23.7,5.1,25.8,37.2,37.0,27.3,25.2,70.0,0.3,226.0,584,14.9,3.6,29.3,1509,835.0,0.67,N,franco
PAR001095,6.8,3.3,1.9,27,29.0,164,1854,203.0,,0.77,25.1,5.2,31.0,47.0,22.0,33.7,33.8,91.0,15.5,509.0,633,16.9,6.0,30.9,1574,922.0,0.76,O,arcilloso
PAR001096,5.5,2.4,1.23,25,19.0,195,1696,169.0,20.0,0.35,18.4,0.0,19.2,28.6,52.2,28.5,22.1,85.0,17.0,863.0,599,9.7,-4.8,22.8,1209,629.0,0.91,S,franco
PAR001097,5.1,3.7,2.18,30,21.0,179,1895,249.0,18.6,0.46,25.5,0.0,28.9,22.1,49.0,38.7,27.3,66.0,15.3,919.0,782,12.3,0.9,27.5,1232,671.0,1.11,O,arenoso
PAR001098,5.2,2.8,1.52,25,16.0,129,1339,184.0,11.6,0.47,19.4,0.0,,39.5,32.6,33.9,27.3,94.0,19.7,1009.0,835,8.9,-4.0,22.5,1088,514.0,1.65,S,franco
PAR001099,6.9,3.0,1.82,30,20.0,177,1991,291.0,12.9,1.16,24.3,2.5,39.8,21.7,38.5,32.2,27.6,43.0,8.5,352.0,697,16.3,4.8,32.6,1629,956.0,0.75,O,calcareo
PAR001100,7.7,1.0,0.63,8,5.0,83,1892,74.0,9.1,1.29,,21.2,24.9,32.0,43.1,26.6,29.0,51.0,7.0,250.0,377,20.1,9.1,37.1,1890,1033.0,0.3,E,arenoso
PAR001101,6.7,1.1,0.83,13,13.0,143,1359,142.0,6.8,0.72,16.1,5.7,13.9,67.8,,26.4,17.6,45.0,10.2,416.0,522,14.6,0.7,30.3,1789,804.0,0.7,O,arenoso
PAR001102,7.0,3.1,1.76,30,21.0,170,2201,197.0,20.4,0.9,21.2,11.6,24.6,15.8,59.6,30.0,26.4,85.0,7.1,409.0,610,16.1,5.2,31.9,1715,894.0,0.58,E,franco
PAR001103,7.1,1.5,0.88,17,14.0,83,1608,,10.2,0.95,17.5,6.3,25.7,50.7,23.6,25.9,20.3,25.0,6.9,660.0,423,15.7,3.6,29.8,1570,,0.48,O,arcilloso
PAR001104,7.7,2.1,1.35,14,13.0,152,2311,183.0,2.0,2.05,21.7,20.6,25.2,22.3,52.5,28.4,21.8,40.0,2.4,191.0,381,21.3,10.5,37.5,2077,1208.0,0.28,N,franco
PAR001105,6.6,1.2,0.65,15,15.0,122,1563,86.0,2.0,0.35,13.9,6.8,13.7,77.7,,22.8,18.1,54.0,7.2,393.0,509,14.9,2.8,30.3,1471,873.0,0.56,N,franco
PAR001106,5.5,2.4,1.51,33,20.0,180,1388,225.0,21.6,0.28,19.8,0.0,29.5,17.2,53.3,33.4,27.5,61.0,12.2,1001.0,667,10.0,-3.8,25.8,1308,651.0,1.1,N,arenoso
PAR001107,5.4,3.2,2.06,31,22.0,227,1379,297.0,18.8,0.13,21.9,0.0,30.0,31.7,38.3,31.9,30.2,61.0,16.8,830.0,641,9.1,-5.7,21.6,1185,522.0,1.3,S,franco
PAR001108,6.9,0.6,,7,10.0,87,1348,88.0,6.0,1.11,11.2,8.9,17.4,56.5,26.1,28.5,20.7,40.0,,577.0,445,16.1,5.6,32.7,1806,943.0,0.47,N,franco
PAR001109,6.7,3.3,1.9,30,27.0,204,1860,233.0,,0.54,,4.9,34.4,29.8,,31.0,27.6,135.0,10.3,332.0,616,18.5,8.2,34.8,1901,982.0,0.66,O,arenoso
PAR001110,5.4,2.7,1.67,32,20.0,175,1278,301.0,15.8,0.1,26.2,0.0,34.7,17.6,47.7,38.8,29.7,60.0,9.5,746.0,803,9.2,-4.2,22.3,1123,549.0,1.43,S,arenoso
PAR001111,6.5,3.1,1.78,26,31.0,198,1338,237.0,12.4,0.45,20.5,4.8,32.4,6.8,60.8,30.7,32.0,76.0,8.8,235.0,613,17.9,6.6,33.4,1805,977.0,0.64,N,calcareo
PAR001112,8.4,1.7,1.22,22,21.0,178,2602,196.0,13.7,1.62,22.2,19.7,29.1,31.4,39.5,25.9,19.2,73.0,2.4,112.0,423,19.4,9.8,35.1,1832,996.0,0.49,E,arcilloso
PAR001113,6.9,1.2,0.72,4,8.0,54,1139,,2.0,0.86,17.5,7.9,19.5,62.9,17.6,24.3,20.3,43.0,9.1,209.0,467,16.1,4.7,30.5,1688,875.0,0.6,O,arcilloso
PAR001114,6.8,2.7,1.61,29,21.0,133,2630,254.0,16.0,0.99,,5.5,30.0,6.8,63.2,30.6,25.9,97.0,1.9,237.0,424,18.5,7.5,32.6,1891,1053.0,0.4,O,arcilloso
PAR001115,8.2,2.5,1.35,25,18.0,224,2676,262.0,16.7,1.91,22.6,19.3,28.2,44.0,27.8,22.8,27.3,85.0,,348.0,459,20.5,9.1,37.0,2051,1108.0,0.4,O,arcilloso
PAR001116,7.9,0.8,0.68,9,8.0,137,1790,179.0,8.3,1.27,13.4,16.4,21.8,47.0,31.2,29.7,21.5,68.0,5.3,,434,21.2,11.1,,2175,1206.0,0.33,E,franco
PAR001117,7.0,3.6,2.1,35,27.0,218,1880,327.0,25.2,0.64,21.8,8.3,37.0,26.2,36.8,31.2,29.5,101.0,6.6,443.0,606,15.1,3.1,30.9,1644,877.0,0.62,O,arcilloso
PAR001118,6.6,3.0,1.69,31,26.0,243,2329,233.0,14.9,0.9,21.9,1.8,32.3,17.8,49.9,32.5,28.2,74.0,12.3,714.0,599,17.4,8.0,34.9,1595,950.0,0.55,E,arenoso
PAR001119,6.9,4.5,2.38,48,29.0,235,2508,300.0,17.2,1.1,23.5,1.6,26.8,41.3,31.9,26.8,27.1,77.0,4.3,443.0,617,17.7,6.0,,1882,1023.0,0.64,O,franco
PAR001120,5.6,3.1,2.08,26,25.0,246,2158,275.0,21.5,0.37,26.1,0.0,42.1,19.6,38.3,38.1,32.1,55.0,12.4,871.0,836,14.9,3.6,29.2,1437,863.0,0.88,S,franco
PAR001121,7.6,1.3,0.75,14,8.0,148,1640,185.0,17.2,1.42,17.6,18.6,26.0,28.7,45.3,27.5,22.9,48.0,1.1,212.0,516,21.2,9.3,,2045,1146.0,0.47,E,calcareo
PAR001122,7.7,1.9,1.37,19,,150,1466,,11.8,1.46,21.8,17.6,27.7,33.7,38.6,25.6,23.9,51.0,7.3,384.0,365,16.2,4.1,30.7,1685,882.0,0.4,O,calcareo
PAR001123,7.8,2.5,1.32,21,20.0,192,2304,283.0,17.8,1.64,,20.5,29.9,44.4,25.7,30.8,24.2,59.0,7.5,261.0,279,19.1,7.0,36.3,1920,983.0,0.31,S,arcilloso
PAR001124,7.0,2.7,1.67,23,20.0,164,1847,204.0,14.2,0.96,18.8,7.1,8.5,83.1,8.4,28.3,15.5,,4.4,368.0,460,18.5,7.9,36.9,1942,1053.0,0.38,E,franco
PAR001125,7.2,4.0,2.24,43,27.0,260,2675,367.0,21.2,0.8,27.2,8.3,30.2,27.4,42.4,36.5,26.8,105.0,10.9,396.0,736,17.4,6.4,,1797,920.0,0.69,O,franco
PAR001126,7.1,3.1,1.75,27,,178,2306,210.0,15.6,1.16,24.6,2.9,39.8,11.0,49.2,33.8,30.0,93.0,10.1,303.0,645,17.9,6.9,,1931,1064.0,0.59,E,franco
PAR001127,5.3,3.7,2.27,35,27.0,200,1749,217.0,14.1,0.35,22.3,0.0,30.4,36.3,33.3,34.8,30.1,66.0,7.8,865.0,627,10.9,-2.6,23.5,1237,648.0,1.09,N,arenoso
PAR001128,7.8,1.9,1.04,18,,165,1955,,12.2,1.09,20.0,21.1,25.8,34.1,40.1,22.8,24.7,102.0,3.4,,399,17.7,7.3,32.4,1891,950.0,0.39,O,arenoso
PAR001129,6.6,3.4,2.08,36,24.0,209,1782,288.0,17.6,0.64,19.9,3.0,20.1,34.4,45.5,21.6,30.3,59.0,19.3,490.0,493,16.5,4.3,33.6,1595,1015.0,0.59,S,arcilloso
PAR001130,7.0,3.8,2.26,34,22.0,243,2463,377.0,21.8,0.57,24.7,4.7,24.2,43.1,32.7,27.4,21.2,70.0,9.0,414.0,643,16.2,4.1,29.9,1612,941.0,0.71,N,arenoso
PAR001131,6.8,1.5,1.0,16,13.0,134,1895,,13.2,0.42,16.0,9.1,18.1,70.2,11.7,22.6,24.5,30.0,11.1,273.0,502,18.1,5.1,33.8,1798,1027.0,0.56,E,franco
PAR001132,6.9,3.3,1.84,34,,183,1808,244.0,19.1,0.5,24.2,7.8,26.2,34.3,39.5,33.4,28.7,53.0,7.1,377.0,696,17.3,5.1,32.2,1614,945.0,0.8,N,franco
PAR001133,6.6,3.4,2.04,37,28.0,239,1914,316.0,15.9,0.74,19.8,5.5,31.1,19.1,49.8,35.9,26.7,78.0,7.9,416.0,616,16.6,3.5,32.2,1800,888.0,0.71,N,franco
PAR001134,7.0,3.2,1.92,26,19.0,226,2034,310.0,13.8,0.62,26.7,3.4,32.5,46.7,20.8,37.2,27.8,89.0,7.1,145.0,664,18.8,6.1,,1767,,0.62,N,arcilloso
PAR001135,6.5,3.7,2.3,31,25.0,201,2319,180.0,11.2,0.71,23.7,3.7,17.1,55.7,27.2,32.4,25.6,70.0,9.3,318.0,627,19.3,7.8,35.5,1784,1114.0,0.59,E,franco
PAR001136,7.3,2.5,1.63,25,22.0,223,1989,233.0,18.7,1.04,15.9,10.2,17.1,68.9,,18.6,21.8,55.0,3.9,545.0,299,16.5,6.5,31.9,1787,897.0,0.41,S,calcareo
PAR001137,7.6,2.4,1.41,27,10.0,168,1802,230.0,23.7,1.6,18.9,13.8,23.0,58.2,18.8,21.1,26.6,43.0,3.7,205.0,364,20.5,9.4,38.2,1830,1108.0,0.33,O,arcilloso
PAR001138,5.4,2.3,1.29,16,23.0,221,1406,273.0,13.2,0.23,21.9,0.0,22.7,17.5,59.8,26.7,30.2,56.0,11.5,863.0,655,11.4,-1.0,25.6,1363,668.0,1.02,S,franco
PAR001139,7.0,2.1,1.09,21,22.0,197,2112,177.0,12.0,0.47,17.7,8.2,29.0,45.9,25.1,34.5,24.1,61.0,13.8,446.0,678,17.6,6.8,32.8,1683,1032.0,0.61,O,franco
PAR001140,5.6,2.8,1.63,25,20.0,204,1122,215.0,13.6,0.17,21.8,0.5,31.5,20.2,48.3,32.5,30.6,52.0,8.5,1005.0,688,9.2,-4.8,21.5,1305,500.0,1.41,S,franco
PAR001141,6.9,1.1,0.67,17,13.0,94,1386,125.0,14.4,0.94,14.9,5.9,16.3,68.6,15.1,28.6,19.9,57.0,4.0,523.0,487,16.2,4.4,32.5,1793,,0.61,S,arcilloso
PAR001142,6.9,2.8,1.39,27,22.0,191,2078,232.0,14.6,0.76,20.2,4.5,23.3,60.1,,29.5,26.4,65.0,6.9,528.0,477,15.7,4.6,31.4,1659,926.0,0.53,O,calcareo
PAR001143,8.0,1.6,0.85,7,16.0,109,1448,153.0,13.3,1.33,16.1,16.4,19.6,54.7,25.7,19.3,22.4,58.0,1.1,13.0,381,20.4,9.3,37.0,2029,1140.0,0.38,O,arcilloso
PAR001144,7.3,1.6,0.95,18,20.0,164,1944,156.0,12.2,0.76,13.9,6.6,11.7,79.5,,27.4,14.5,39.0,5.4,,541,17.1,6.3,33.3,1732,948.0,0.6,E,calcareo
PAR001145,6.9,3.8,2.0,32,29.0,240,2615,285.0,24.0,0.42,23.2,4.7,15.0,38.9,46.1,26.7,28.8,90.0,0.6,144.0,554,17.5,7.0,34.0,1944,910.0,0.57,O,arcilloso
PAR001146,7.8,0.9,0.32,15,13.0,92,1897,117.0,8.0,2.02,22.5,19.4,39.2,43.1,17.7,30.3,24.2,57.0,6.4,293.0,442,21.7,14.1,41.7,2200,1187.0,0.45,E,calcareo
PAR001147,5.7,2.9,1.79,20,22.0,187,1582,,20.3,0.42,21.4,3.8,22.8,24.1,53.1,28.4,21.1,37.0,15.5,847.0,660,11.4,-2.0,,1155,670.0,1.01,O,calcareo
PAR001148,5.7,2.4,1.54,30,22.0,217,1402,236.0,18.3,0.49,19.2,0.0,34.3,21.2,44.5,37.2,24.4,58.0,,,812,10.9,-0.1,26.4,1178,684.0,1.18,O,franco
PAR001149,5.4,2.9,1.79,29,20.0,209,1002,183.0,18.4,0.1,,0.0,36.8,8.1,55.1,30.7,33.4,61.0,13.9,851.0,677,8.3,-6.9,20.5,1100,500.0,1.26,N,arenoso
PAR001150,8.0,2.5,1.53,23,16.0,203,2791,166.0,8.9,1.48,20.8,19.6,24.9,36.6,38.5,28.8,24.8,80.0,3.1,261.0,515,16.8,4.4,30.5,1513,867.0,0.69,N,franco
PAR001151,6.7,3.2,1.76,33,17.0,226,1399,,17.4,0.65,21.8,1.8,25.1,44.6,30.3,31.5,30.2,66.0,,201.0,620,17.5,5.0,31.5,1812,991.0,0.6,N,franco
PAR001152,6.6,3.1,,32,20.0,240,2494,215.0,17.9,0.64,21.4,1.6,24.8,53.2,22.0,25.2,28.2,99.0,1.9,268.0,544,18.7,6.5,34.2,1958,1075.0,0.5,N,franco
PAR001153,7.3,0.8,0.59,9,15.0,170,1268,128.0,6.0,0.78,13.3,8.1,3.0,59.4,37.6,22.1,13.4,34.0,9.6,456.0,447,16.5,5.0,,1879,909.0,0.5,N,calcareo
PAR001154,5.6,3.8,2.3,28,28.0,182,1730,298.0,18.6,0.2,20.8,0.8,24.4,29.8,45.8,34.3,28.8,30.0,19.4,1101.0,725,11.1,-2.2,22.8,1154,688.0,1.05,N,franco
PAR001155,7.2,3.9,2.42,34,21.0,228,2105,329.0,26.8,0.92,24.7,8.4,26.1,31.9,42.0,30.2,28.0,82.0,,529.0,545,16.6,3.8,32.6,1544,944.0,0.57,N,calcareo
PAR001156,5.7,2.3,1.34,22,20.0,147,1471,248.0,9.7,0.5,24.7,0.0,34.5,30.5,35.0,36.8,30.9,52.0,12.1,917.0,777,11.4,-0.7,24.0,1213,724.0,1.05,O,arenoso
PAR001157,5.4,2.2,1.38,19,,211,1228,220.0,14.4,0.39,19.6,0.0,32.4,47.5,,38.1,27.0,20.0,18.3,930.0,864,10.4,-1.9,23.6,1158,586.0,1.5,E,franco
PAR001158,7.0,4.3,2.63,40,,254,2309,301.0,24.1,0.79,30.1,5.0,36.5,39.3,24.2,30.3,34.7,112.0,11.2,326.0,598,16.8,5.5,,1827,948.0,0.67,S,calcareo
PAR001159,6.8,3.9,2.27,39,30.0,192,2144,260.0,21.7,0.82,23.8,4.4,18.7,54.4,26.9,27.4,28.1,105.0,,443.0,597,15.9,3.9,,1782,864.0,0.69,E,arcilloso
PAR001160,8.3,1.4,0.83,18,20.0,170,1654,167.0,14.0,1.59,,15.7,19.9,50.5,29.6,25.0,28.4,70.0,6.1,231.0,497,20.9,11.5,37.8,2159,1174.0,0.45,S,arcilloso
PAR001161,5.3,2.5,1.47,27,27.0,138,2057,176.0,14.9,0.31,24.4,0.0,29.1,42.6,28.3,32.8,23.7,56.0,14.3,934.0,765,12.0,-0.6,24.8,1549,662.0,1.2,N,arcilloso
PAR001162,7.9,2.5,1.52,27,14.0,119,1924,276.0,17.5,1.57,20.0,19.2,20.3,61.6,,23.6,26.9,78.0,2.6,247.0,270,19.4,8.3,35.0,1821,1061.0,0.23,E,franco
PAR001163,5.6,3.2,1.91,34,30.0,212,1575,261.0,16.0,0.43,22.3,0.0,30.5,18.8,50.7,38.6,26.6,69.0,16.6,1117.0,777,11.0,-2.4,23.3,1327,647.0,1.14,E,arenoso
PAR001164,6.1,3.6,2.01,39,27.0,212,1992,289.0,22.9,0.26,26.0,1.4,40.0,30.6,29.4,40.5,35.5,94.0,11.3,1000.0,924,7.6,-5.9,20.0,900,548.0,1.69,N,calcareo
PAR001165,7.0,3.6,2.04,31,24.0,225,2174,308.0,17.7,1.14,26.6,4.2,30.9,26.5,42.6,31.2,30.6,59.0,15.6,402.0,555,15.5,3.2,30.2,1732,813.0,0.69,E,arenoso
PAR001166,7.0,2.5,1.61,26,17.0,187,2048,298.0,16.1,0.74,21.3,4.7,29.1,26.3,44.6,30.7,31.2,79.0,,713.0,706,13.9,1.1,24.7,1304,833.0,0.86,O,franco
PAR001167,5.2,3.5,2.09,34,21.0,189,1680,238.0,19.6,0.33,19.9,0.0,24.6,36.8,38.6,30.6,30.2,60.0,13.3,965.0,775,10.6,-3.2,23.8,1363,656.0,1.1,N,franco
PAR001168,7.6,2.1,1.29,17,18.0,195,1693,,12.6,1.69,21.8,16.5,28.9,45.5,25.6,31.6,30.6,65.0,,371.0,607,19.7,9.3,36.8,1947,1171.0,0.51,E,arcilloso
PAR001169,5.4,1.9,1.16,20,19.0,157,1739,179.0,20.7,0.56,19.6,0.0,35.7,22.4,41.9,28.5,32.5,43.0,19.2,1110.0,665,10.1,-3.3,24.8,1243,572.0,1.07,E,franco
PAR001170,7.7,2.1,1.17,20,19.0,108,1938,,13.4,1.9,,20.2,25.7,50.2,24.1,20.2,24.1,67.0,2.1,60.0,455,21.8,12.5,38.5,1960,1248.0,0.29,N,arcilloso
PAR001171,6.6,3.6,1.92,39,28.0,199,1873,354.0,22.0,0.65,25.1,3.8,28.3,31.6,40.1,33.7,31.6,,3.9,473.0,778,15.9,3.2,31.5,1635,920.0,0.8,E,arenoso
PAR001172,5.6,2.0,1.28,23,15.0,144,1305,235.0,6.0,0.2,17.3,1.1,27.1,36.6,36.3,31.3,25.5,59.0,20.1,1047.0,793,8.6,-3.8,21.6,1086,547.0,1.56,S,franco
PAR001173,7.6,0.9,0.47,10,4.0,96,1272,174.0,4.8,1.43,,12.7,26.5,57.5,16.0,25.9,21.7,25.0,,151.0,360,15.8,3.6,32.4,1553,941.0,0.44,N,arcilloso
PAR001174,5.9,2.4,1.35,24,24.0,164,2157,252.0,16.4,0.38,20.5,0.0,34.3,17.6,48.1,34.9,30.3,55.0,11.6,943.0,728,8.5,-4.2,,900,536.0,1.29,O,franco
PAR001175,7.9,1.5,0.85,16,22.0,108,1749,276.0,,1.45,17.8,15.3,14.0,44.5,41.5,19.6,23.9,77.0,3.7,97.0,360,21.1,11.1,38.8,2045,1094.0,0.43,O,arenoso
PAR001176,7.0,1.8,1.08,16,20.0,184,2253,243.0,10.0,0.67,14.4,7.4,20.4,41.8,37.8,26.0,21.3,47.0,2.7,416.0,478,16.2,5.6,32.8,1688,884.0,0.6,E,franco
PAR001177,5.8,2.7,1.5,31,30.0,132,1795,274.0,15.2,0.61,21.4,1.5,31.6,39.4,29.0,34.9,30.2,59.0,9.5,910.0,724,11.1,-1.6,23.2,1276,619.0,1.2,O,franco
PAR001178,6.8,0.8,0.42,8,11.0,83,1470,179.0,10.1,0.57,12.5,6.4,8.8,72.2,,28.1,21.8,23.0,0.0,515.0,558,16.6,5.1,33.3,1717,955.0,0.5,O,arcilloso
PAR001179,5.5,3.7,2.08,36,30.0,196,2259,259.0,18.2,0.17,24.9,0.4,25.7,35.9,38.4,39.4,29.5,36.0,17.5,910.0,822,10.0,-4.0,23.9,1330,649.0,1.25,O,arenoso
PAR001180,6.9,3.3,1.95,22,25.0,216,1924,209.0,11.6,0.64,22.9,2.9,28.1,36.3,35.6,31.1,30.7,88.0,12.6,324.0,646,16.6,4.0,31.7,1507,879.0,0.76,N,arenoso
PAR001181,5.2,3.1,1.52,27,17.0,128,1573,164.0,12.4,0.38,21.5,0.0,23.4,51.6,25.0,32.9,26.4,54.0,10.5,1007.0,763,11.4,-0.7,25.3,1301,769.0,1.05,N,arcilloso
PAR001182,7.0,1.0,0.68,5,10.0,113,1513,188.0,6.5,0.61,,8.2,15.6,57.9,26.5,25.3,21.7,44.0,2.1,462.0,595,15.2,1.1,30.5,1629,920.0,0.51,S,franco
PAR001183,7.6,1.1,0.57,8,6.0,100,1699,206.0,9.1,1.72,11.9,14.8,13.3,45.8,40.9,18.6,16.7,82.0,0.0,79.0,348,23.4,13.0,42.6,2200,1185.0,0.32,O,arcilloso
PAR001184,5.7,2.4,1.28,16,20.0,116,1829,170.0,7.2,0.12,21.9,0.0,24.7,32.7,42.6,25.0,19.3,,8.9,1022.0,501,7.8,-4.9,20.0,1052,500.0,1.04,E,franco
PAR001185,5.1,2.0,1.22,27,27.0,200,1321,222.0,11.7,0.32,18.2,0.0,33.7,14.0,52.3,37.4,26.7,40.0,20.0,707.0,861,10.2,-3.7,21.5,900,626.0,1.37,E,franco
PAR001186,5.4,2.8,1.72,27,22.0,171,1751,242.0,18.8,0.49,21.9,0.0,27.6,22.1,50.3,34.4,27.4,55.0,16.1,,711,9.9,-3.6,21.7,1175,610.0,1.18,N,calcareo
PAR001187,7.0,2.9,1.6,28,14.0,175,2342,236.0,20.5,0.61,23.6,4.1,30.2,23.2,46.6,32.0,29.6,81.0,9.9,527.0,603,18.6,8.4,37.0,1799,1057.0,0.66,O,franco
PAR001188,7.7,1.4,0.93,20,17.0,166,1515,282.0,15.0,1.94,15.4,19.2,30.1,45.0,24.9,32.1,29.2,68.0,0.0,158.0,383,19.8,8.7,35.7,1919,1112.0,0.37,S,arcilloso
PAR001189,5.7,4.7,2.69,43,31.0,249,2131,298.0,,0.57,31.2,0.1,45.1,5.0,49.9,36.5,38.0,71.0,15.7,1010.0,744,9.8,-3.1,24.4,1036,626.0,1.26,N,arcilloso
PAR001190,7.2,2.0,1.39,18,20.0,140,1943,213.0,17.9,0.34,19.0,2.7,21.4,44.6,34.0,23.4,25.7,62.0,0.0,309.0,534,15.2,2.0,31.7,1526,809.0,0.58,S,arcilloso
PAR001191,6.4,1.7,0.86,8,15.0,111,1499,156.0,,0.84,18.1,9.1,19.3,66.3,14.4,28.9,18.4,15.0,4.6,486.0,562,16.2,4.3,31.5,1615,926.0,0.59,N,arenoso
