id_zona,materia_organica_pct,nitrogeno_ppm,fosforo_ppm,potasio_ppm,ph_suelo,cic,profundidad_suelo_cm,humedad_suelo_pct,agua_disponible_mm,precipitacion_campana_mm,temp_media_campana_c,pendiente_pct,ndvi_medio,ndvi_max,tipo_suelo,sistema_riego,variedad,clase_productividad
ZON000814,4.1,39.0,29,186,6.6,22.5,115.0,30.8,232,635.0,19.7,5.9,0.76,0.98,franco,goteo,hibrida,muy_alta
ZON000815,1.6,16.0,9,123,6.3,12.5,54.0,28.2,174,467.0,18.2,4.7,0.22,0.34,arenoso,aspersion,hibrida,muy_baja
ZON000816,3.1,26.0,18,199,7.2,13.6,77.0,17.7,91,355.0,12.8,2.4,0.41,0.51,calcareo,goteo,hibrida,media
ZON000817,1.5,23.0,18,166,7.3,11.5,61.0,28.9,119,423.0,16.8,3.0,0.42,0.57,arenoso,secano,mejorada,media
ZON000818,2.3,,20,140,6.5,15.3,52.0,24.3,156,516.0,15.3,0.0,0.49,0.63,arcilloso,goteo,tradicional,baja
ZON000819,2.3,30.0,18,234,6.7,16.5,48.0,13.9,39,292.0,18.0,11.9,0.46,0.54,franco,aspersion,mejorada,baja
ZON000820,1.1,6.0,3,46,6.4,8.2,15.0,18.1,98,394.0,19.2,10.1,,0.49,arenoso,aspersion,mejorada,baja
ZON000821,2.5,28.0,25,192,6.5,14.5,52.0,27.3,186,583.0,17.2,15.0,0.81,0.98,arcilloso,aspersion,tradicional,alta
ZON000822,2.0,25.0,17,158,6.8,15.8,56.0,22.5,137,416.0,16.2,6.4,0.44,0.59,arenoso,aspersion,tradicional,media
ZON000823,1.4,19.0,16,157,6.5,17.4,72.0,15.1,89,187.0,18.0,13.1,0.25,0.31,arenoso,secano,tradicional,muy_baja
ZON000824,2.4,35.0,26,132,6.7,15.6,98.0,23.2,160,448.0,16.3,12.6,0.56,0.64,arenoso,goteo,tradicional,media
ZON000825,3.2,30.0,19,195,,15.6,58.0,21.2,117,,23.2,11.8,0.46,0.64,franco,aspersion,mejorada,baja
ZON000826,1.0,15.0,10,114,6.3,9.5,26.0,32.3,128,318.0,18.9,9.6,0.48,0.62,arcilloso,goteo,mejorada,baja
ZON000827,2.5,32.0,20,129,7.1,17.9,61.0,35.5,207,,18.5,4.2,0.72,0.93,calcareo,secano,mejorada,alta
ZON000828,4.5,50.0,34,223,6.8,25.3,108.0,33.0,209,390.0,12.0,10.0,0.77,0.93,franco,secano,hibrida,muy_alta
ZON000829,1.7,24.0,12,168,6.2,12.9,51.0,26.4,148,498.0,14.9,8.9,0.5,0.7,arcilloso,secano,tradicional,baja
ZON000830,3.0,29.0,17,184,7.2,20.2,81.0,27.7,190,577.0,20.1,4.9,0.63,0.78,calcareo,aspersion,mejorada,alta
ZON000831,2.1,,14,176,6.4,14.9,73.0,31.7,151,452.0,16.9,0.6,0.55,0.69,arcilloso,goteo,tradicional,alta
ZON000832,2.1,24.0,20,172,6.6,13.0,59.0,,78,298.0,12.4,0.0,0.37,0.49,arcilloso,secano,hibrida,muy_baja
ZON000833,3.5,36.0,29,249,6.8,21.6,106.0,32.4,272,724.0,18.5,12.2,0.54,0.7,arcilloso,goteo,mejorada,muy_alta
ZON000834,3.3,41.0,37,205,6.8,22.1,121.0,12.9,105,233.0,16.1,29.1,0.54,0.71,calcareo,secano,hibrida,media
ZON000835,2.9,39.0,25,228,7.2,21.2,94.0,34.8,254,748.0,15.5,7.0,0.56,0.76,arcilloso,goteo,tradicional,muy_alta
ZON000836,1.9,18.0,15,178,5.9,12.5,72.0,23.7,116,505.0,19.2,6.1,0.67,0.85,arenoso,goteo,mejorada,media
ZON000837,1.9,,19,151,7.0,17.8,,25.1,149,421.0,17.0,14.0,0.54,0.65,arcilloso,aspersion,mejorada,muy_baja
ZON000838,3.9,44.0,30,251,,22.4,118.0,16.6,139,421.0,18.3,10.2,0.66,0.83,arcilloso,goteo,hibrida,alta
ZON000839,3.1,29.0,14,161,6.8,18.3,65.0,29.7,155,470.0,17.2,8.8,0.54,0.66,calcareo,aspersion,mejorada,media
ZON000840,4.0,32.0,19,300,6.4,22.7,91.0,29.4,250,669.0,20.7,15.1,0.76,0.98,franco,goteo,hibrida,muy_alta
ZON000841,0.3,2.0,2,43,6.2,3.0,15.0,28.5,154,530.0,21.7,3.8,0.24,0.32,arenoso,secano,tradicional,muy_baja
ZON000842,3.1,,27,280,7.0,23.0,100.0,14.7,130,269.0,17.0,5.8,0.61,0.75,franco,secano,hibrida,media
ZON000843,2.8,38.0,27,229,6.8,18.9,108.0,23.0,136,358.0,11.5,11.5,0.67,0.88,arcilloso,secano,mejorada,alta
ZON000844,2.1,,24,233,7.1,15.6,63.0,27.0,160,504.0,18.4,1.1,0.65,0.85,calcareo,secano,tradicional,alta
ZON000845,2.4,28.0,28,249,7.0,17.9,68.0,21.0,140,363.0,19.4,3.9,0.39,0.55,arenoso,goteo,mejorada,baja
ZON000846,2.6,38.0,33,221,6.7,23.8,87.0,27.2,174,434.0,17.0,18.8,,0.9,franco,goteo,mejorada,alta
ZON000847,1.0,,15,206,6.5,16.0,48.0,20.6,123,,19.6,4.9,0.39,0.48,arcilloso,goteo,mejorada,muy_baja
ZON000848,3.3,41.0,28,254,7.1,23.8,95.0,,173,588.0,18.8,12.3,0.86,0.98,franco,aspersion,mejorada,muy_alta
ZON000849,2.4,23.0,12,180,6.2,14.3,76.0,23.6,135,476.0,16.7,6.5,0.52,0.67,arenoso,aspersion,tradicional,baja
ZON000850,3.1,32.0,28,243,6.5,18.4,106.0,18.4,127,255.0,16.7,5.6,0.72,0.88,franco,secano,hibrida,media
ZON000851,2.4,22.0,16,192,6.7,14.0,75.0,30.1,208,477.0,16.0,3.6,0.56,0.72,franco,aspersion,tradicional,alta
ZON000852,4.6,,26,328,5.6,23.6,104.0,28.3,198,586.0,19.0,11.7,0.67,0.87,franco,aspersion,mejorada,muy_alta
ZON000853,2.2,35.0,32,259,6.7,17.8,64.0,25.6,206,,19.7,5.8,0.69,0.89,franco,aspersion,mejorada,muy_alta
ZON000854,3.8,39.0,25,271,6.7,17.6,125.0,25.3,136,501.0,19.0,4.7,0.59,0.74,calcareo,secano,mejorada,alta
ZON000855,2.6,29.0,28,214,6.6,20.1,69.0,33.8,207,466.0,18.3,13.0,0.67,0.85,franco,goteo,mejorada,muy_alta
ZON000856,2.6,27.0,22,175,6.5,18.4,53.0,23.5,135,472.0,18.0,7.7,0.65,0.89,arcilloso,aspersion,tradicional,media
ZON000857,3.2,31.0,22,174,6.5,16.4,86.0,21.4,126,513.0,18.8,12.1,0.54,0.67,franco,goteo,mejorada,media
ZON000858,4.4,40.0,29,257,6.4,25.8,89.0,22.7,133,394.0,19.8,6.3,0.69,0.85,arenoso,goteo,mejorada,alta
ZON000859,2.9,34.0,21,219,6.8,15.4,62.0,24.1,123,485.0,17.1,17.1,0.56,0.76,arcilloso,secano,mejorada,alta
ZON000860,3.1,36.0,36,209,6.8,19.1,69.0,26.3,149,409.0,20.8,11.0,0.58,0.69,arcilloso,goteo,hibrida,media
ZON000861,3.2,40.0,29,196,6.6,16.6,92.0,33.7,207,665.0,17.1,2.1,0.75,0.98,franco,secano,mejorada,muy_alta
ZON000862,0.9,23.0,10,187,,14.1,46.0,13.7,57,255.0,20.2,10.9,0.33,0.45,arcilloso,secano,tradicional,muy_baja
ZON000863,3.1,37.0,27,243,6.6,23.6,108.0,29.1,210,543.0,22.8,10.9,0.56,0.7,franco,secano,tradicional,muy_alta
ZON000864,1.3,12.0,10,139,6.9,17.2,45.0,32.9,128,393.0,18.7,0.0,0.42,0.51,arcilloso,goteo,tradicional,baja
ZON000865,0.9,18.0,16,137,6.7,12.9,19.0,9.6,76,270.0,21.6,2.0,0.32,0.42,calcareo,secano,mejorada,muy_baja
ZON000866,4.1,40.0,33,252,6.8,20.4,108.0,22.4,141,383.0,22.9,1.2,0.65,0.82,franco,goteo,mejorada,muy_alta
ZON000867,3.4,40.0,20,218,6.9,19.1,,34.1,257,702.0,18.0,4.2,0.75,0.98,franco,aspersion,mejorada,muy_alta
ZON000868,1.6,17.0,12,86,6.5,11.3,28.0,22.9,112,437.0,18.9,4.1,0.56,0.67,arenoso,secano,tradicional,baja
ZON000869,4.1,37.0,25,274,7.5,23.4,94.0,28.4,164,498.0,16.6,4.1,0.73,0.89,calcareo,goteo,tradicional,muy_alta
ZON000870,0.5,19.0,13,167,6.5,14.7,47.0,27.6,150,464.0,13.4,6.5,0.4,0.56,arenoso,goteo,hibrida,baja
ZON000871,2.6,33.0,27,206,7.0,17.8,72.0,30.0,168,566.0,21.1,14.4,,0.79,arcilloso,goteo,mejorada,alta
ZON000872,2.8,26.0,26,202,6.6,19.3,82.0,25.8,133,,19.6,5.4,0.41,0.5,arenoso,secano,tradicional,media
ZON000873,1.6,24.0,25,135,7.1,15.2,48.0,36.7,139,623.0,18.4,14.1,0.52,0.7,arenoso,goteo,tradicional,baja
ZON000874,1.4,24.0,13,153,7.2,15.0,63.0,19.7,95,458.0,14.6,2.5,0.51,0.65,arenoso,aspersion,mejorada,media
ZON000875,1.8,17.0,15,123,6.4,15.0,50.0,27.6,164,517.0,18.5,0.0,0.53,0.67,arcilloso,aspersion,tradicional,media
ZON000876,2.6,31.0,19,209,6.6,17.6,86.0,21.9,111,539.0,17.9,12.7,0.57,0.7,franco,secano,mejorada,alta
ZON000877,1.6,15.0,22,157,6.4,12.0,84.0,22.8,123,,16.5,8.1,0.4,0.55,franco,goteo,tradicional,baja
ZON000878,2.1,28.0,24,199,6.3,16.0,77.0,21.8,154,307.0,19.7,3.7,0.76,0.98,franco,aspersion,hibrida,alta
ZON000879,3.1,30.0,27,248,6.3,18.4,91.0,31.0,203,617.0,17.6,18.2,0.78,0.95,arcilloso,goteo,tradicional,muy_alta
ZON000880,1.4,17.0,6,135,6.0,9.4,41.0,26.9,137,407.0,14.9,3.0,0.4,0.58,arenoso,secano,tradicional,baja
ZON000881,2.8,18.0,20,153,6.0,15.2,83.0,,133,305.0,16.4,13.9,0.41,0.55,arcilloso,secano,mejorada,media
ZON000882,2.4,,18,171,6.9,13.6,,,184,489.0,17.7,6.7,0.66,0.9,arcilloso,goteo,hibrida,muy_alta
ZON000883,3.7,37.0,28,187,6.4,16.3,75.0,19.7,150,377.0,14.5,7.1,0.6,0.72,franco,secano,tradicional,media
ZON000884,1.8,21.0,15,201,6.5,10.4,,28.6,173,496.0,21.5,5.9,0.58,0.76,franco,aspersion,tradicional,media
ZON000885,1.8,27.0,14,217,7.2,17.3,83.0,21.2,142,475.0,21.7,13.0,0.61,0.75,franco,secano,tradicional,baja
ZON000886,3.4,31.0,28,208,6.8,23.3,,20.8,142,318.0,19.5,6.7,0.68,0.84,arcilloso,secano,hibrida,media
ZON000887,5.4,58.0,32,277,6.5,25.3,113.0,20.1,108,265.0,19.9,5.5,0.78,0.98,calcareo,secano,mejorada,muy_alta
ZON000888,1.7,24.0,11,191,6.8,12.0,40.0,21.6,107,386.0,26.4,8.2,0.6,0.76,arcilloso,goteo,tradicional,baja
ZON000889,2.9,,32,249,6.9,24.0,89.0,32.8,193,519.0,17.3,16.4,0.77,0.98,franco,secano,mejorada,muy_alta
ZON000890,2.6,38.0,26,261,6.5,20.8,79.0,25.1,146,,18.3,15.5,0.6,0.73,calcareo,secano,tradicional,alta
ZON000891,1.6,22.0,16,223,6.9,14.9,61.0,35.0,258,695.0,19.8,0.0,0.63,0.76,arcilloso,goteo,tradicional,muy_alta
ZON000892,1.9,19.0,16,175,6.5,14.3,39.0,28.7,188,469.0,15.2,0.0,0.49,0.65,arcilloso,goteo,tradicional,media
ZON000893,2.7,32.0,17,217,6.2,17.2,62.0,30.7,201,634.0,19.5,2.4,0.65,0.78,franco,aspersion,mejorada,alta
ZON000894,2.2,25.0,24,223,7.4,18.3,67.0,26.5,183,349.0,17.1,7.2,0.64,0.84,franco,secano,hibrida,media
ZON000895,4.1,46.0,20,227,5.8,19.4,97.0,19.7,94,244.0,20.1,0.0,0.49,0.62,franco,secano,mejorada,media
ZON000896,2.2,25.0,18,124,6.1,13.6,46.0,,124,541.0,18.8,3.2,0.56,0.7,franco,secano,tradicional,media
ZON000897,2.1,34.0,31,198,6.6,15.9,,22.6,121,374.0,16.4,6.7,0.5,0.66,arcilloso,secano,tradicional,baja
ZON000898,1.2,21.0,12,171,6.6,12.0,60.0,23.7,146,565.0,20.3,10.1,0.5,0.61,arcilloso,goteo,tradicional,baja
ZON000899,2.4,27.0,20,176,6.3,15.3,50.0,19.7,99,216.0,13.7,9.0,0.42,0.55,franco,secano,tradicional,muy_baja
ZON000900,2.8,29.0,29,201,6.5,18.5,75.0,21.8,126,331.0,19.7,7.0,0.56,0.72,calcareo,secano,tradicional,media
ZON000901,2.9,32.0,24,219,6.8,14.5,105.0,12.7,92,228.0,20.3,30.1,0.58,0.74,franco,secano,mejorada,muy_baja
ZON000902,2.5,,26,195,6.2,20.1,88.0,26.4,114,349.0,16.7,4.8,0.65,0.8,franco,goteo,mejorada,media
ZON000903,1.5,13.0,14,167,6.2,15.7,26.0,20.7,106,439.0,18.3,11.1,,0.58,arenoso,aspersion,hibrida,muy_baja
ZON000904,1.3,20.0,13,124,6.5,10.6,37.0,29.8,159,595.0,16.7,0.0,0.54,0.7,arenoso,secano,tradicional,media
ZON000905,3.8,36.0,22,228,6.7,18.3,98.0,,129,,17.1,12.5,0.6,0.72,calcareo,secano,mejorada,media
ZON000906,2.3,24.0,21,187,6.0,14.5,55.0,29.1,154,578.0,16.8,0.0,0.55,0.71,franco,goteo,tradicional,alta
ZON000907,3.6,,26,241,7.9,20.4,66.0,18.4,121,187.0,19.6,9.0,0.46,0.64,franco,secano,hibrida,media
ZON000908,3.3,32.0,13,177,,15.3,83.0,17.9,129,339.0,23.2,1.5,0.53,0.64,arcilloso,aspersion,mejorada,baja
ZON000909,2.8,27.0,22,185,6.6,12.5,83.0,24.9,146,,13.5,3.3,0.51,0.64,arenoso,goteo,tradicional,media
ZON000910,1.9,25.0,10,148,6.8,16.7,54.0,11.7,107,339.0,20.7,7.4,0.23,0.35,franco,goteo,tradicional,muy_baja
ZON000911,2.3,23.0,11,165,,14.8,68.0,26.9,202,547.0,16.5,7.5,0.44,0.58,arcilloso,goteo,mejorada,baja
ZON000912,1.4,19.0,21,189,7.3,11.7,47.0,26.6,160,435.0,20.0,4.9,0.62,0.83,arenoso,aspersion,tradicional,media
ZON000913,3.4,33.0,28,194,6.0,17.4,64.0,34.5,215,582.0,18.4,2.0,0.57,0.66,arcilloso,secano,mejorada,muy_alta
ZON000914,2.1,26.0,23,130,6.7,18.0,71.0,32.3,156,436.0,18.7,4.5,0.6,0.76,arcilloso,goteo,mejorada,media
ZON000915,3.7,,31,265,7.0,21.1,98.0,20.0,154,421.0,19.1,11.1,0.52,0.69,franco,goteo,mejorada,alta
ZON000916,3.3,29.0,24,198,6.7,17.4,89.0,26.7,175,506.0,13.9,9.0,0.44,0.63,calcareo,aspersion,tradicional,media
ZON000917,0.9,17.0,15,94,6.8,10.7,52.0,19.3,105,414.0,18.3,0.0,0.26,0.38,arenoso,goteo,tradicional,muy_baja
ZON000918,2.7,36.0,26,242,6.2,20.8,61.0,15.0,43,309.0,18.1,1.5,0.43,0.6,franco,secano,tradicional,muy_baja
ZON000919,0.9,19.0,11,150,6.1,12.3,48.0,23.7,115,460.0,22.3,27.1,0.37,0.46,arenoso,goteo,mejorada,muy_baja
ZON000920,3.6,33.0,23,224,7.1,17.2,60.0,30.1,157,,18.3,10.8,0.45,0.6,calcareo,goteo,hibrida,media
ZON000921,3.9,35.0,22,215,7.1,21.5,56.0,30.0,177,453.0,20.0,10.2,0.66,0.87,calcareo,goteo,tradicional,alta
ZON000922,2.9,32.0,18,184,7.3,19.0,69.0,21.5,120,420.0,18.3,10.9,0.45,0.57,calcareo,goteo,mejorada,media
ZON000923,1.9,15.0,14,100,6.9,6.7,18.0,39.8,164,737.0,19.3,11.2,0.44,0.61,arcilloso,secano,mejorada,media
ZON000924,1.6,,21,196,6.8,16.5,66.0,38.7,241,691.0,18.3,8.7,,0.75,arcilloso,goteo,tradicional,muy_alta
ZON000925,2.9,36.0,31,285,6.7,21.6,98.0,22.8,151,398.0,20.8,13.0,0.53,0.61,arenoso,goteo,tradicional,media
ZON000926,1.2,23.0,19,201,6.4,13.3,42.0,20.8,62,377.0,16.8,7.3,0.46,0.59,arcilloso,aspersion,mejorada,muy_baja
ZON000927,2.3,25.0,21,180,6.4,14.5,76.0,23.7,137,493.0,20.9,11.4,0.53,0.65,franco,goteo,hibrida,media
ZON000928,2.0,19.0,11,140,7.3,18.3,45.0,19.0,127,,15.8,11.4,0.59,0.78,franco,goteo,mejorada,media
ZON000929,2.5,26.0,12,168,6.1,13.9,63.0,25.7,144,458.0,18.3,10.6,0.62,0.75,arenoso,goteo,mejorada,media
ZON000930,1.9,17.0,8,180,6.5,12.1,45.0,19.4,112,312.0,16.9,9.8,0.38,0.5,arenoso,secano,tradicional,muy_baja
ZON000931,2.4,32.0,18,193,6.5,16.9,77.0,,131,325.0,19.9,22.7,0.51,0.68,calcareo,secano,tradicional,baja
ZON000932,0.8,19.0,20,121,6.2,14.7,73.0,16.2,109,420.0,23.7,0.0,0.48,0.63,arenoso,goteo,mejorada,muy_baja
ZON000933,3.8,30.0,15,168,6.5,20.2,80.0,,132,380.0,16.0,1.1,0.47,0.59,arcilloso,aspersion,tradicional,baja
ZON000934,2.5,30.0,23,215,6.4,16.9,89.0,15.8,98,215.0,21.3,3.5,0.4,0.54,arcilloso,secano,tradicional,media
ZON000935,3.7,38.0,22,216,6.9,23.9,103.0,24.8,163,341.0,16.3,5.9,0.62,0.77,calcareo,secano,hibrida,alta
ZON000936,2.5,38.0,25,237,6.4,22.8,,19.4,144,427.0,18.9,12.6,0.76,0.96,franco,goteo,mejorada,muy_alta
ZON000937,1.7,19.0,31,183,5.9,12.7,50.0,,169,588.0,13.7,12.7,0.61,0.76,arenoso,aspersion,tradicional,baja
ZON000938,1.5,13.0,11,122,6.5,11.6,29.0,,180,480.0,16.6,6.7,0.54,0.68,franco,aspersion,mejorada,media
ZON000939,1.3,15.0,10,121,6.4,13.4,34.0,13.7,72,214.0,17.7,4.9,0.33,0.36,arenoso,secano,mejorada,muy_baja
ZON000940,2.8,21.0,21,194,6.4,14.7,81.0,17.7,142,224.0,17.6,11.8,0.48,0.61,arenoso,secano,tradicional,baja
ZON000941,1.5,21.0,21,146,6.2,14.1,51.0,22.2,174,559.0,16.5,12.7,0.41,0.48,arcilloso,secano,mejorada,baja
ZON000942,4.2,37.0,28,260,6.8,19.8,91.0,34.8,230,667.0,17.7,0.0,0.65,0.81,arcilloso,goteo,tradicional,muy_alta
ZON000943,1.2,17.0,8,106,6.9,13.4,15.0,24.5,87,214.0,20.7,6.5,0.34,0.41,arcilloso,secano,hibrida,muy_baja
ZON000944,2.1,21.0,13,122,6.0,16.0,54.0,26.8,163,529.0,18.6,10.5,0.62,0.77,arenoso,goteo,tradicional,media
ZON000945,1.0,12.0,2,65,5.8,4.2,58.0,31.7,216,593.0,16.9,7.5,0.54,0.67,arenoso,goteo,tradicional,media
ZON000946,2.6,25.0,16,157,6.9,20.3,50.0,28.0,180,565.0,12.6,3.5,0.46,0.62,calcareo,goteo,mejorada,alta
ZON000947,2.5,24.0,18,169,7.1,17.8,59.0,22.0,128,286.0,17.0,2.3,,0.7,arcilloso,secano,tradicional,baja
ZON000948,2.7,32.0,26,188,6.7,20.5,92.0,21.5,161,392.0,21.4,7.9,0.54,0.75,franco,secano,tradicional,media
ZON000949,2.9,40.0,28,256,6.6,21.1,105.0,17.7,147,,13.7,10.9,0.53,0.71,arcilloso,secano,tradicional,alta
ZON000950,2.0,26.0,19,145,6.7,15.2,39.0,30.4,203,501.0,16.3,1.4,0.48,0.61,franco,aspersion,mejorada,media
ZON000951,2.5,27.0,20,151,7.1,14.9,66.0,17.3,74,329.0,14.5,3.6,0.26,0.29,calcareo,secano,mejorada,muy_baja
ZON000952,2.5,24.0,22,173,7.0,17.0,77.0,21.4,200,488.0,20.0,4.8,0.42,0.59,franco,goteo,hibrida,media
ZON000953,3.0,31.0,28,232,6.5,17.0,92.0,37.6,169,672.0,19.1,10.9,0.64,0.74,arenoso,goteo,tradicional,alta
ZON000954,2.3,25.0,28,243,6.4,15.7,77.0,22.2,115,423.0,25.3,8.2,0.59,0.71,franco,aspersion,mejorada,alta
ZON000955,2.5,18.0,19,115,7.1,15.0,60.0,29.1,198,484.0,18.0,3.9,0.51,0.64,arenoso,secano,mejorada,alta
ZON000956,3.4,37.0,23,206,7.2,23.6,89.0,29.7,170,647.0,18.1,11.1,0.67,0.83,franco,goteo,hibrida,alta
ZON000957,3.6,36.0,27,224,6.2,21.6,91.0,27.9,211,653.0,21.5,13.2,0.69,0.94,calcareo,secano,tradicional,alta
ZON000958,2.1,10.0,17,154,6.4,13.2,51.0,27.2,133,417.0,20.1,6.4,0.46,0.6,franco,aspersion,mejorada,media
ZON000959,2.6,27.0,28,190,5.7,17.5,81.0,17.4,154,,19.1,20.1,0.67,0.9,franco,aspersion,mejorada,baja
ZON000960,2.9,38.0,25,250,6.7,18.3,80.0,,194,502.0,23.4,9.1,0.67,0.8,franco,secano,mejorada,alta
ZON000961,1.7,19.0,14,183,6.9,15.1,54.0,21.2,109,,13.8,0.0,0.55,0.65,arcilloso,secano,mejorada,alta
ZON000962,2.6,25.0,27,157,6.3,17.8,,28.4,142,549.0,17.3,8.0,,0.73,franco,goteo,tradicional,media
ZON000963,2.0,22.0,14,190,5.8,13.6,43.0,18.2,21,130.0,14.5,11.4,0.42,0.56,arenoso,secano,mejorada,muy_baja
ZON000964,3.3,,11,154,7.1,16.3,58.0,30.5,160,539.0,19.6,7.5,0.53,0.68,arenoso,aspersion,mejorada,media
ZON000965,2.0,20.0,22,136,6.6,14.7,62.0,23.6,163,563.0,13.9,15.1,0.38,0.54,franco,goteo,tradicional,baja
ZON000966,2.6,16.0,17,111,6.2,13.9,81.0,21.8,145,528.0,20.9,16.2,0.5,0.65,franco,secano,mejorada,baja
ZON000967,2.5,,20,125,,9.9,46.0,,133,,22.9,10.7,0.58,0.74,calcareo,secano,hibrida,media
ZON000968,2.5,,24,211,6.5,13.2,74.0,25.8,155,425.0,16.1,10.7,0.69,0.86,arenoso,secano,tradicional,alta
ZON000969,1.6,17.0,3,70,6.2,11.0,22.0,30.5,170,566.0,16.7,10.0,0.56,0.71,arenoso,goteo,tradicional,baja
ZON000970,2.2,22.0,19,117,6.3,13.9,40.0,26.8,188,441.0,15.2,13.2,0.75,0.98,arenoso,goteo,hibrida,alta
ZON000971,1.6,15.0,21,140,6.8,12.4,59.0,19.1,104,340.0,15.2,7.5,0.34,0.42,arenoso,goteo,tradicional,muy_baja
ZON000972,2.9,39.0,32,186,6.3,19.9,117.0,29.0,250,574.0,14.1,7.2,0.73,0.91,arcilloso,aspersion,mejorada,muy_alta
ZON000973,3.2,33.0,30,246,6.5,20.0,97.0,24.5,148,296.0,18.2,8.1,,0.8,franco,goteo,mejorada,alta
ZON000974,1.7,24.0,17,131,6.2,14.2,60.0,28.1,156,483.0,21.4,0.8,0.63,0.82,arcilloso,goteo,hibrida,alta
ZON000975,2.5,36.0,33,196,7.3,17.0,94.0,15.3,102,202.0,13.6,14.4,0.6,0.8,calcareo,secano,tradicional,baja
ZON000976,2.3,35.0,27,289,6.8,24.1,81.0,26.3,166,,14.4,5.2,0.54,0.67,franco,secano,tradicional,media
ZON000977,3.4,34.0,26,217,6.0,20.2,64.0,15.3,66,287.0,20.0,22.6,0.36,0.55,arenoso,secano,mejorada,muy_baja
ZON000978,2.0,28.0,22,192,6.4,19.2,60.0,32.5,181,534.0,19.5,0.0,0.51,0.68,franco,secano,mejorada,muy_alta
ZON000979,3.3,36.0,21,258,6.7,17.2,94.0,,222,578.0,16.0,6.9,0.78,0.98,arenoso,aspersion,hibrida,muy_alta
ZON000980,2.9,18.0,13,146,6.4,13.5,52.0,27.8,157,436.0,18.3,7.0,0.73,0.93,arenoso,secano,hibrida,alta
ZON000981,2.2,28.0,21,164,,16.4,61.0,35.0,271,819.0,22.5,23.8,,0.9,calcareo,goteo,mejorada,alta
ZON000982,3.3,30.0,24,209,6.4,18.0,89.0,19.2,142,432.0,18.2,4.2,0.69,0.82,franco,goteo,tradicional,media
ZON000983,3.7,48.0,30,270,6.2,21.5,85.0,23.9,206,586.0,16.4,9.3,0.81,0.98,franco,goteo,tradicional,muy_alta
ZON000984,3.2,33.0,32,237,7.4,18.2,84.0,16.7,87,262.0,15.8,11.0,0.65,0.82,franco,aspersion,mejorada,baja
ZON000985,2.2,24.0,19,185,6.2,15.0,65.0,28.9,215,542.0,16.6,0.3,0.67,0.84,arcilloso,goteo,tradicional,alta
ZON000986,4.6,43.0,25,286,6.2,24.3,111.0,,187,534.0,17.7,1.2,0.74,0.98,arcilloso,secano,hibrida,muy_alta
ZON000987,2.8,34.0,26,222,6.7,17.5,69.0,24.9,141,398.0,21.7,2.7,0.53,0.63,franco,secano,mejorada,media
ZON000988,3.2,34.0,31,277,6.2,20.0,98.0,31.0,253,653.0,18.0,8.3,0.68,0.86,arcilloso,secano,mejorada,alta
ZON000989,1.9,9.0,10,40,6.4,11.3,23.0,44.7,286,908.0,17.4,5.1,0.59,0.69,franco,aspersion,mejorada,media
ZON000990,0.8,15.0,13,144,6.8,11.0,43.0,25.8,116,487.0,17.7,1.6,0.46,0.59,arenoso,aspersion,mejorada,baja
ZON000991,2.0,27.0,21,135,,12.3,60.0,16.0,94,218.0,18.0,0.0,0.53,0.7,arenoso,aspersion,tradicional,baja
ZON000992,2.0,22.0,20,118,5.9,14.8,51.0,19.6,124,,17.0,14.6,0.53,0.72,arenoso,secano,mejorada,media
ZON000993,1.1,20.0,13,149,6.4,12.9,48.0,29.8,133,426.0,16.6,12.2,0.52,0.64,arcilloso,aspersion,hibrida,muy_baja
ZON000994,1.7,26.0,9,179,6.7,14.2,55.0,27.2,98,462.0,14.5,4.7,0.53,0.61,arcilloso,goteo,tradicional,baja
ZON000995,3.6,36.0,28,192,7.1,15.7,78.0,26.3,134,429.0,18.0,17.1,0.73,0.9,calcareo,aspersion,hibrida,media
ZON000996,2.0,25.0,24,181,6.2,15.3,52.0,18.5,130,388.0,20.0,5.3,0.33,0.45,franco,goteo,tradicional,muy_baja
ZON000997,1.4,13.0,27,137,7.1,15.0,77.0,28.2,115,425.0,12.0,9.6,0.47,0.55,arcilloso,secano,tradicional,muy_baja
ZON000998,3.0,24.0,22,175,7.0,15.6,73.0,32.3,204,482.0,21.8,11.3,0.68,0.92,arenoso,goteo,tradicional,media
ZON000999,3.5,41.0,31,278,,21.9,95.0,29.4,144,448.0,20.2,2.1,0.64,0.82,franco,goteo,tradicional,muy_alta
ZON001000,3.5,26.0,22,262,6.3,17.0,62.0,37.4,238,685.0,17.4,8.4,0.78,0.95,arcilloso,aspersion,tradicional,muy_alta
ZON001001,1.7,21.0,18,123,6.4,13.6,60.0,22.5,130,369.0,16.8,0.4,0.56,0.71,arcilloso,secano,tradicional,media
ZON001002,2.7,34.0,18,245,6.7,18.6,74.0,,233,699.0,14.5,6.5,0.64,0.81,calcareo,goteo,mejorada,muy_alta
ZON001003,2.6,26.0,22,216,5.9,17.2,70.0,30.6,162,427.0,16.0,5.5,0.51,0.67,franco,aspersion,mejorada,alta
ZON001004,1.7,19.0,14,128,6.4,14.5,42.0,29.0,166,472.0,16.1,9.9,0.53,0.67,arcilloso,aspersion,tradicional,media
ZON001005,4.0,41.0,33,189,7.0,22.5,87.0,33.6,175,578.0,23.3,13.9,0.6,0.78,franco,goteo,hibrida,muy_alta
