id_especimen,longitud_total_mm,longitud_elitro_mm,anchura_max_mm,anchura_pronoto_mm,anchura_cabeza_mm,altura_cuerpo_mm,longitud_antena_mm,num_segmentos_antena,longitud_pata_anterior_mm,longitud_pata_posterior_mm,longitud_femur_mm,longitud_tibia_mm,longitud_tarso_mm,distancia_interocular_mm,diametro_ojo_mm,longitud_mandibula_mm,num_estrias_elitro,num_puntos_pronoto,longitud_espolon_mm,peso_mg,ratio_largo_ancho,ratio_antena_cuerpo,ratio_pata_cuerpo,area_dorsal_mm2,volumen_estimado_mm3,longitud_ala_mm,envergadura_mm,coloracion
ESP001723,21.73,13.36,9.02,7.43,,6.1,9.63,11.0,8.48,13.04,5.8,5.47,3.76,2.36,1.17,2.25,10,70.0,0.76,299,2.41,0.443,0.6,152.9,597.8,16.49,42.0,marron
ESP001724,18.33,11.27,5.75,4.69,3.19,5.65,8.71,12.0,6.75,11.63,5.47,4.9,3.12,1.57,0.89,1.63,11,50.0,1.07,193,3.19,0.475,0.634,82.2,297.7,15.42,36.59,marron
ESP001725,13.21,8.02,6.93,5.3,3.59,3.85,6.02,8.0,5.39,8.45,3.9,3.13,2.25,2.0,0.85,1.3,8,46.0,0.79,133,1.91,0.456,0.64,71.4,176.2,11.01,28.95,negro
ESP001726,15.03,9.61,6.28,5.08,,,7.64,8.0,5.71,8.88,3.82,3.83,2.34,1.73,0.77,1.36,8,46.0,0.78,141,2.39,0.508,0.591,73.6,211.9,11.25,28.78,marron
ESP001727,,8.37,6.22,5.19,,3.79,4.94,8.0,5.43,7.61,3.88,3.04,2.16,1.62,0.88,1.38,9,44.0,0.56,76,2.11,0.377,0.58,63.6,154.5,9.92,26.06,negro
ESP001728,12.23,7.41,6.38,5.12,,4.32,4.96,9.0,4.53,7.73,3.48,3.62,2.21,1.72,0.9,1.43,10,26.0,0.69,78,1.92,0.406,0.632,60.9,168.5,9.57,25.52,negro
ESP001729,17.54,10.75,7.16,5.85,3.74,5.49,8.89,12.0,6.84,10.52,5.08,4.45,2.9,1.99,1.1,2.01,11,50.0,1.04,174,2.45,0.507,0.6,98.0,344.7,12.88,32.92,marron
ESP001730,19.57,12.35,8.99,6.97,4.88,6.64,9.17,11.0,8.95,12.66,6.11,5.18,3.64,2.43,1.27,2.16,9,,1.08,238,2.18,0.469,0.647,137.2,584.1,16.53,42.05,marron
ESP001731,20.2,12.25,8.39,6.98,4.67,,9.29,11.0,8.07,10.88,,4.63,2.96,2.36,1.04,,11,49.0,0.86,228,2.41,0.46,0.539,132.2,500.8,15.5,39.39,marron
ESP001732,10.7,7.01,6.25,4.97,3.31,3.13,3.65,8.0,4.4,6.64,2.82,3.02,1.7,1.72,0.85,1.04,9,,0.42,53,1.71,0.341,0.621,52.2,104.7,8.7,23.65,marron
ESP001733,13.95,8.58,6.26,5.27,3.44,4.35,6.89,9.0,5.68,9.51,4.46,4.15,2.93,1.65,0.88,1.54,9,53.0,1.09,91,2.23,0.494,0.682,68.1,189.9,10.63,27.52,marron
ESP001734,13.62,8.27,6.48,5.12,3.25,,5.99,10.0,4.84,7.22,3.61,3.46,2.01,1.7,0.94,1.65,7,43.0,0.85,77,2.1,0.44,0.53,68.8,203.4,,30.74,negro
ESP001735,12.25,7.67,5.02,4.03,2.47,3.65,6.04,9.0,4.7,7.35,,2.95,1.94,1.47,0.75,1.47,10,19.0,0.42,48,2.44,0.493,0.6,48.0,112.2,9.35,23.72,marron
ESP001736,13.46,8.72,5.93,4.76,3.37,4.06,6.0,9.0,5.36,7.69,3.24,3.16,2.34,1.59,0.79,1.13,9,45.0,0.83,101,2.27,0.446,0.571,62.3,162.0,10.59,27.11,negro
ESP001737,12.86,8.49,6.86,5.41,3.77,3.63,6.11,7.0,5.36,7.57,3.23,,2.21,1.88,0.86,1.32,8,45.0,0.74,85,1.87,0.475,0.589,68.8,160.1,10.09,27.04,negro
ESP001738,11.75,7.07,5.98,4.96,3.23,3.79,5.07,9.0,5.19,6.6,3.16,2.56,1.66,1.72,0.79,1.03,10,35.0,0.74,69,1.96,,0.562,54.8,133.2,8.81,23.6,rojizo
ESP001739,20.87,12.81,9.44,7.24,5.47,6.31,9.31,10.0,8.65,12.57,5.93,5.08,3.4,2.69,1.37,2.16,11,69.0,0.99,288,2.21,0.446,0.602,153.7,621.6,17.17,43.78,rojizo
ESP001740,12.72,8.01,6.03,4.94,3.38,,5.61,8.0,5.35,7.49,3.44,3.13,2.21,1.66,0.91,1.41,9,48.0,0.46,79,2.11,0.441,,59.8,148.0,,26.19,marron
ESP001741,14.84,9.12,6.89,5.67,4.21,4.97,6.97,8.0,6.59,8.91,4.19,3.66,2.85,1.91,0.92,1.8,10,45.0,0.82,142,2.15,0.47,0.6,79.8,254.1,11.57,30.03,negro
ESP001742,,7.31,5.41,3.99,3.15,4.16,5.94,9.0,4.72,7.11,3.54,3.19,2.02,1.46,0.74,1.08,10,45.0,1.0,43,2.19,0.501,0.599,50.0,133.5,10.14,25.69,marron
ESP001743,11.78,7.26,6.24,5.04,3.4,3.64,6.28,8.0,5.2,8.45,3.9,3.41,2.5,1.63,1.04,1.21,8,16.0,0.64,67,1.89,0.533,0.717,57.3,133.8,9.79,25.82,negro
ESP001744,13.83,8.69,6.32,4.9,3.82,3.83,5.8,,5.81,8.7,,3.71,2.27,1.78,0.85,1.33,7,38.0,0.73,88,2.19,0.419,0.629,68.2,167.4,9.58,25.48,negro
ESP001745,21.04,13.05,9.07,7.61,5.21,5.79,9.31,10.0,7.92,13.1,6.22,5.45,3.73,2.5,1.18,,12,,1.12,241,2.32,0.442,0.623,148.8,552.5,16.35,41.77,negro
ESP001746,22.89,14.21,9.48,7.45,5.47,6.43,10.66,10.0,8.33,13.45,6.12,,3.59,2.6,1.26,2.52,8,82.0,1.21,292,2.41,0.466,0.588,169.3,697.6,18.04,45.56,metalico
ESP001747,20.28,12.65,8.59,6.9,4.87,5.98,8.82,13.0,8.06,11.36,5.48,4.78,3.28,2.41,1.24,2.62,9,59.0,1.1,231,2.36,0.435,0.56,135.9,,15.03,38.65,metalico
ESP001748,12.86,7.35,4.7,3.87,2.59,,5.51,10.0,4.85,7.35,3.51,3.23,2.0,1.15,0.8,0.8,8,,0.2,75,2.74,0.428,0.572,47.1,,9.82,24.34,marron
ESP001749,11.61,7.17,5.41,4.42,2.72,3.27,6.13,10.0,4.33,7.18,3.28,3.01,1.79,1.56,0.77,1.39,8,45.0,0.6,34,2.15,0.528,0.618,49.0,102.7,9.07,23.55,marron
ESP001750,12.29,7.91,6.93,5.65,4.1,3.85,5.71,,5.28,8.0,3.69,3.26,2.25,1.84,1.11,1.32,8,37.0,0.74,112,1.77,0.465,0.651,66.4,164.0,9.51,25.95,negro
ESP001751,13.03,8.19,6.37,5.22,3.54,3.84,5.85,9.0,5.06,7.46,3.1,,2.1,1.82,0.94,1.45,9,41.0,0.53,71,2.05,0.449,0.573,64.7,159.4,,24.63,metalico
ESP001752,12.04,7.78,4.97,4.05,2.74,3.99,5.81,8.0,4.9,6.73,3.01,2.77,1.91,1.36,0.66,1.16,8,32.0,0.55,48,2.42,0.483,0.559,46.7,119.4,9.77,24.51,negro
ESP001753,17.35,10.66,6.69,5.27,3.65,5.22,8.99,12.0,7.15,11.04,5.06,4.56,3.09,1.83,0.91,2.21,12,46.0,0.8,180,2.59,0.518,0.636,90.5,302.9,14.58,35.85,negro
ESP001754,14.22,8.92,6.19,4.69,3.5,,7.34,,5.27,8.56,4.08,3.46,2.32,1.8,0.92,1.46,7,62.0,0.85,112,2.3,0.516,0.602,68.7,205.1,11.96,30.11,negro
ESP001755,15.82,9.52,6.22,5.12,3.47,4.23,7.87,11.0,5.83,9.12,4.02,3.93,2.49,1.63,0.91,1.69,13,,1.08,140,2.54,0.497,0.576,76.8,208.1,13.35,32.92,metalico
ESP001756,,6.84,5.53,4.55,3.18,3.91,4.37,8.0,4.98,6.22,3.41,2.09,1.96,1.6,0.66,1.34,8,10.0,0.81,15,2.04,0.387,0.551,48.7,121.9,8.82,23.17,negro
ESP001757,16.99,10.51,6.52,5.16,3.72,5.09,8.18,11.0,6.14,10.82,5.01,4.26,2.85,1.69,0.88,1.71,12,65.0,1.04,133,2.61,0.481,0.637,86.4,281.9,13.78,34.08,rojizo
ESP001758,20.23,12.56,8.81,7.33,4.96,6.34,9.54,11.0,8.85,11.8,5.57,4.93,3.39,2.51,1.12,1.89,10,79.0,0.86,263,2.3,0.472,0.583,139.0,565.0,15.89,40.59,negro
ESP001759,10.76,6.43,5.41,4.69,,3.49,5.98,8.0,5.06,6.39,,2.72,1.88,1.57,0.76,1.09,8,55.0,0.87,38,1.99,0.556,0.594,45.4,101.6,9.25,23.91,negro
ESP001760,14.93,8.98,6.21,5.54,3.35,4.33,6.55,9.0,5.97,8.81,3.82,4.01,2.68,1.45,0.93,1.52,10,13.0,0.9,102,2.4,0.439,0.59,72.3,200.7,11.64,29.49,rojizo
ESP001761,15.6,10.01,6.89,5.62,3.82,4.49,7.67,11.0,6.16,9.89,4.79,4.25,2.57,1.88,0.89,1.98,11,41.0,0.9,110,2.26,0.492,0.634,83.8,241.3,11.86,30.61,negro
ESP001762,14.11,8.52,6.54,5.52,3.24,4.46,6.46,9.0,5.4,8.41,3.88,3.37,2.29,1.63,1.03,1.39,9,33.0,0.67,110,2.16,0.458,0.596,72.0,205.8,10.93,28.4,marron
ESP001763,13.6,7.96,6.92,5.54,3.8,3.71,6.01,9.0,5.44,7.05,3.18,2.93,2.09,1.66,0.87,,6,34.0,0.85,87,1.97,0.442,0.518,73.4,174.6,11.09,29.1,negro
ESP001764,10.5,6.46,4.48,3.55,2.42,3.55,5.41,8.0,3.82,6.12,3.06,2.45,1.57,1.23,0.51,,9,23.0,0.32,12,2.34,,0.583,36.7,83.5,9.3,23.08,marron
ESP001765,,13.07,8.55,7.05,4.62,5.69,10.79,11.0,7.67,12.66,5.55,5.18,3.82,2.2,1.07,2.16,11,83.0,1.15,249,2.4,0.526,0.617,136.8,499.1,15.86,40.27,metalico
ESP001766,11.58,7.54,5.3,4.61,2.82,3.88,5.05,9.0,4.86,6.66,,2.85,1.97,1.35,0.73,1.18,8,20.0,0.4,33,2.18,0.436,0.575,47.9,119.1,8.67,22.64,negro
ESP001767,13.65,8.32,5.52,4.55,3.04,4.13,7.4,8.0,5.18,8.05,3.67,3.57,2.11,1.53,0.66,1.18,7,26.0,0.67,90,2.47,0.542,0.59,58.8,155.6,11.16,27.84,marron
ESP001768,18.78,12.06,6.95,5.71,4.0,4.99,8.63,11.0,7.17,11.56,5.5,4.6,3.17,1.87,0.99,1.77,10,44.0,0.79,207,2.7,0.46,0.616,101.8,325.6,14.94,36.83,negro
ESP001769,9.98,6.32,5.34,4.68,3.13,4.14,4.46,8.0,4.54,6.9,2.97,2.75,2.16,1.65,0.77,1.09,10,40.0,0.54,19,1.87,0.447,0.691,41.6,110.3,8.39,22.12,negro
ESP001770,12.75,8.1,6.66,5.44,3.55,4.13,6.44,8.0,5.92,8.13,3.93,3.51,2.3,1.76,0.89,1.52,8,21.0,1.03,84,1.91,,0.638,66.2,175.3,,29.4,negro
ESP001771,13.66,8.48,7.28,5.77,3.5,4.35,6.22,9.0,5.9,8.37,4.03,3.42,2.11,1.92,1.07,1.55,7,55.0,0.64,121,1.88,0.455,0.613,77.6,216.3,10.37,28.02,negro
ESP001772,10.9,6.46,6.14,4.81,3.46,3.62,5.13,9.0,4.4,7.52,3.25,3.04,2.19,1.46,0.71,1.18,8,47.0,0.83,63,1.78,0.471,,52.2,121.1,9.55,25.24,marron
ESP001773,11.17,6.63,5.73,5.05,3.39,3.95,5.1,8.0,4.72,6.95,3.05,3.2,1.83,1.73,0.85,1.23,7,33.0,0.46,23,1.95,0.457,0.622,49.9,126.4,8.25,22.23,negro
ESP001774,12.99,8.17,5.9,4.92,3.08,4.15,6.13,8.0,5.01,7.66,3.66,2.89,2.14,1.9,0.8,,9,,0.51,79,2.2,0.472,0.59,59.8,159.0,10.12,26.14,negro
ESP001775,21.86,13.58,8.69,7.1,4.85,,9.83,11.0,8.53,12.48,5.77,,3.54,2.25,1.16,2.03,9,76.0,1.28,278,2.52,0.45,0.571,148.2,572.7,16.47,41.63,rojizo
ESP001776,18.57,11.58,6.49,5.27,3.82,5.15,9.12,12.0,6.3,10.45,4.6,4.42,2.77,1.79,0.98,1.94,10,,1.22,166,2.86,0.491,0.563,94.0,310.3,14.54,35.57,marron
ESP001777,17.89,11.14,6.72,5.17,3.62,4.87,8.45,,6.47,9.76,4.36,4.09,2.83,1.81,0.98,1.84,10,43.0,1.06,160,2.66,0.472,0.546,93.8,292.7,13.5,33.72,metalico
ESP001778,13.53,8.28,5.75,4.8,2.94,3.67,6.0,9.0,4.9,7.76,3.69,3.12,2.07,1.67,0.79,1.46,8,,0.81,93,2.35,0.443,0.574,60.7,142.8,9.9,25.55,marron
ESP001779,10.67,7.11,5.05,4.01,2.78,3.22,4.97,7.0,4.87,6.33,2.65,2.39,1.58,1.44,0.69,1.07,9,32.0,0.35,38,2.11,0.466,0.593,42.0,86.8,8.1,21.25,negro
ESP001780,21.15,12.92,9.2,6.94,5.18,6.17,9.72,11.0,8.36,12.23,5.67,5.22,3.3,2.55,1.33,2.25,8,64.0,1.12,271,2.3,0.46,0.578,151.8,600.3,17.86,44.92,metalico
ESP001781,10.9,6.61,5.5,4.25,3.04,3.49,5.8,11.0,5.31,7.37,3.42,3.04,1.94,1.6,0.73,1.39,8,,0.42,39,1.98,0.532,0.676,46.8,104.6,8.45,22.4,negro
ESP001782,,6.91,5.34,4.57,3.25,4.11,5.63,8.0,4.78,8.01,3.79,3.2,2.08,1.59,0.7,1.55,8,31.0,0.78,46,2.12,0.498,0.708,47.1,124.1,,24.68,marron
ESP001783,14.55,8.79,7.33,5.75,3.95,,5.72,8.0,6.01,9.2,3.73,3.83,2.68,2.02,0.93,1.8,7,,0.93,109,1.98,0.393,0.632,83.2,248.5,10.98,29.29,metalico
ESP001784,18.82,11.96,6.87,5.62,3.97,4.85,9.14,10.0,7.63,11.3,5.33,4.27,3.16,1.98,0.9,2.05,11,44.0,0.85,201,2.74,0.486,0.6,100.8,313.5,15.12,37.11,negro
ESP001785,12.63,7.91,6.5,5.47,3.27,4.1,5.53,8.0,6.0,9.41,4.33,4.0,2.65,1.66,0.9,1.34,7,,0.75,94,1.94,0.438,,64.0,168.3,10.33,27.16,negro
ESP001786,21.08,13.01,8.38,6.75,4.55,5.92,9.46,11.0,7.92,12.0,5.31,5.08,3.34,2.35,1.2,,12,61.0,1.01,247,2.52,0.449,0.569,137.8,522.9,16.41,41.2,marron
ESP001787,10.82,7.14,5.67,4.62,3.09,3.02,4.54,8.0,4.17,6.79,3.01,2.92,2.13,1.83,0.74,1.12,8,21.0,0.79,45,1.91,0.42,0.628,47.9,92.6,8.76,23.19,negro
ESP001788,,12.71,7.98,6.33,4.17,5.82,9.17,10.0,7.46,11.19,5.04,4.76,2.84,2.0,1.15,2.03,10,54.0,1.22,227,2.43,0.472,0.576,120.9,451.2,15.05,38.08,marron
ESP001789,10.83,6.77,5.0,4.48,2.47,4.01,5.95,8.0,5.04,8.68,4.05,3.21,2.5,1.39,0.63,1.06,9,49.0,0.58,55,2.17,0.549,0.801,42.2,108.6,9.2,23.4,negro
ESP001790,19.13,11.81,6.36,4.96,3.73,4.55,9.67,12.0,7.22,11.01,5.25,4.69,2.87,1.72,0.83,2.18,11,42.0,0.77,168,3.01,0.505,0.576,94.9,276.8,15.72,37.8,marron
ESP001791,14.37,8.9,6.45,5.56,,4.42,6.59,9.0,6.66,8.4,,3.11,2.28,1.79,0.86,1.83,8,40.0,1.14,95,2.23,0.459,0.585,72.3,204.8,10.95,28.35,negro
ESP001792,12.13,7.92,5.68,4.56,3.3,,6.26,,5.33,6.66,3.01,,1.97,1.36,0.79,1.35,11,31.0,0.72,34,2.14,0.516,0.549,53.7,104.4,9.71,25.1,negro
ESP001793,20.38,12.77,9.41,7.58,,6.12,9.7,11.0,8.6,11.42,5.45,4.45,3.03,2.54,1.29,,10,66.0,1.14,209,2.17,0.476,0.56,149.6,586.8,,41.71,metalico
ESP001794,14.27,9.02,5.36,4.25,3.01,4.63,6.75,9.0,5.61,8.14,3.61,3.64,2.13,1.46,0.88,1.34,8,45.0,0.78,117,2.66,0.473,0.57,59.7,177.1,,28.02,rojizo
ESP001795,19.86,12.71,9.19,7.33,4.81,5.26,8.53,,8.22,11.71,5.38,4.79,3.51,2.55,1.21,1.93,10,58.0,0.99,228,2.16,0.43,0.59,142.4,480.0,15.51,40.21,negro
ESP001796,11.91,7.36,5.88,4.84,3.28,3.09,4.98,7.0,4.42,6.92,2.95,3.26,1.97,1.6,0.8,1.14,9,41.0,0.27,69,2.03,0.418,0.581,54.6,108.2,9.54,24.96,negro
ESP001797,12.86,8.58,6.09,5.11,3.36,,6.34,,5.75,8.12,3.83,3.39,2.25,1.86,0.81,1.32,8,25.0,0.54,102,2.11,0.493,0.631,61.1,176.2,10.93,27.95,negro
ESP001798,17.45,10.81,7.56,6.31,,5.39,8.21,11.0,7.44,10.48,4.94,4.12,3.05,2.07,1.07,2.01,12,51.0,0.55,163,2.31,0.47,0.601,102.9,355.5,,33.54,marron
ESP001799,22.91,14.67,9.02,7.29,,5.89,11.7,,8.82,14.03,6.82,,4.13,2.49,1.25,2.57,9,87.0,1.37,284,2.54,0.511,0.612,161.2,608.6,18.39,45.8,metalico
ESP001800,21.02,13.59,7.65,6.34,,5.71,9.42,10.0,7.64,12.18,5.4,5.37,3.27,2.26,1.07,2.41,10,54.0,1.16,229,2.75,0.448,0.579,125.4,459.1,16.23,40.11,metalico
ESP001801,19.22,11.71,6.81,5.63,3.82,5.95,9.35,11.0,7.75,11.96,5.06,5.15,3.36,2.08,0.95,2.0,11,63.0,1.13,205,2.82,0.486,0.622,102.1,389.4,14.88,36.57,metalico
ESP001802,22.21,14.17,8.5,7.08,4.61,,10.24,11.0,7.91,13.03,5.99,5.55,3.73,2.4,1.12,2.19,10,85.0,0.97,263,2.61,,0.587,147.3,557.9,16.95,42.4,negro
ESP001803,,8.18,6.05,5.02,3.21,,6.5,9.0,5.18,7.82,3.81,3.25,2.32,1.82,0.8,1.21,7,36.0,1.13,75,2.24,0.479,0.577,64.0,171.9,9.2,24.45,metalico
ESP001804,12.9,8.09,5.2,4.52,2.81,3.87,6.53,,5.18,7.56,3.43,3.24,2.0,1.23,0.66,1.27,8,43.0,0.39,92,2.48,,0.586,52.3,129.8,9.39,23.98,metalico
ESP001805,20.96,13.08,9.93,8.31,5.57,5.95,9.4,10.0,8.21,11.01,,4.55,2.99,2.69,1.33,2.62,10,72.0,1.31,228,2.11,0.448,0.525,162.3,619.2,16.35,42.63,metalico
ESP001806,19.22,12.13,7.54,6.07,3.88,5.48,9.19,,7.31,10.43,,4.46,3.04,2.11,1.09,1.92,12,47.0,1.12,152,2.55,0.478,0.543,113.0,397.1,,37.3,metalico
ESP001807,21.32,13.12,7.8,6.2,4.26,,9.81,11.0,8.34,11.99,5.72,5.04,3.54,1.9,0.94,2.3,11,46.0,0.88,232,2.73,0.46,0.562,129.7,515.5,16.76,41.32,metalico
ESP001808,18.09,11.27,6.99,5.52,3.88,5.88,7.91,10.0,6.96,10.46,5.08,4.63,2.87,1.94,1.02,2.0,12,46.0,0.78,187,2.59,0.437,0.578,98.6,371.8,14.74,36.47,marron
ESP001809,10.39,6.0,5.37,4.67,3.25,3.52,5.22,10.0,5.46,6.14,2.84,2.65,1.68,1.61,0.76,0.94,9,43.0,0.89,54,1.93,0.502,0.591,43.5,98.2,8.39,22.15,marron
ESP001810,20.06,12.44,7.77,6.18,4.16,,9.26,12.0,7.6,12.17,5.77,4.78,3.23,2.25,1.11,1.83,10,76.0,1.25,226,2.58,0.462,0.607,121.6,444.2,15.46,38.69,metalico
ESP001811,14.19,8.92,5.86,4.17,3.27,3.56,6.06,7.0,5.76,7.85,3.71,3.05,2.51,1.82,0.84,1.17,11,50.0,0.59,68,2.42,0.427,0.553,64.9,148.0,,25.96,negro
ESP001812,18.61,11.44,8.16,6.56,4.71,5.5,8.17,10.0,7.38,11.45,5.23,4.77,3.37,2.11,1.19,2.0,10,77.0,0.81,208,2.28,,0.615,118.4,417.6,13.19,34.54,metalico
ESP001813,21.58,13.26,9.27,7.44,4.93,5.92,10.26,12.0,8.61,12.98,5.61,5.51,3.65,2.6,1.21,2.55,11,66.0,1.11,253,2.33,0.475,0.601,156.0,592.1,16.73,42.73,metalico
ESP001814,18.8,11.58,7.15,5.84,4.06,5.65,8.83,11.0,7.62,11.43,5.31,4.83,3.13,2.06,1.02,2.08,9,76.0,0.82,192,2.63,0.47,0.608,104.8,379.7,15.05,37.25,metalico
ESP001815,21.27,13.07,8.76,7.07,,,10.51,11.0,9.29,12.15,5.68,5.29,3.39,2.19,1.15,2.21,10,66.0,1.02,257,2.43,0.494,0.571,145.3,565.5,16.64,42.04,marron
ESP001816,10.47,6.76,6.28,5.18,3.36,3.89,4.73,,5.95,6.55,3.11,3.05,1.97,1.62,1.03,1.27,7,49.0,0.75,59,1.67,0.452,0.626,51.3,127.9,8.94,24.16,marron
ESP001817,17.37,10.66,6.49,5.31,3.77,5.1,8.0,,7.18,10.39,4.77,4.34,3.05,1.73,0.82,1.68,9,54.0,0.47,154,2.68,0.461,0.598,87.9,287.5,14.34,35.17,rojizo
ESP001818,20.13,12.85,7.33,5.74,3.86,5.71,9.94,11.0,7.28,12.03,5.57,5.15,3.34,1.98,0.97,2.51,11,43.0,1.06,223,2.75,0.494,0.598,115.1,421.3,16.52,40.37,marron
ESP001819,18.05,11.35,6.74,5.37,3.58,5.62,7.48,11.0,6.7,10.66,4.74,4.59,2.86,1.94,0.95,1.89,13,67.0,1.25,150,2.68,0.414,0.591,94.9,341.9,13.91,34.56,rojizo
ESP001820,12.71,7.47,5.99,4.96,3.4,3.75,5.23,8.0,3.93,7.67,3.54,3.3,2.28,1.63,0.71,,10,39.0,0.82,86,2.12,0.411,0.603,59.4,142.7,9.68,25.35,marron
ESP001821,18.32,11.47,8.0,6.06,4.28,5.66,8.51,11.0,7.38,10.96,5.0,4.3,2.86,2.18,1.04,2.22,11,61.0,0.6,177,2.29,0.465,0.598,114.3,414.8,15.29,38.58,metalico
ESP001822,12.67,8.1,6.28,5.0,3.46,3.82,6.07,10.0,4.83,7.44,3.41,2.91,1.98,1.7,0.78,1.25,8,46.0,0.97,78,2.02,0.479,0.587,62.1,152.0,10.58,27.44,marron
ESP001823,22.22,13.58,8.01,6.68,4.69,6.46,9.2,11.0,8.2,12.91,6.05,5.28,3.51,2.17,1.12,2.3,9,53.0,1.18,233,2.77,0.414,0.581,138.8,574.9,16.98,41.97,marron
ESP001824,11.84,7.31,5.1,3.76,2.92,4.04,6.1,8.0,4.84,7.21,3.07,2.96,1.84,1.34,0.67,1.26,10,46.0,0.65,49,2.32,0.515,0.609,47.1,122.0,8.79,22.68,rojizo
ESP001825,12.52,7.54,5.29,4.23,2.86,3.64,6.11,,5.09,7.62,3.86,3.23,2.13,1.37,0.64,1.36,8,29.0,1.01,51,2.37,0.488,0.609,51.7,120.5,10.5,26.29,negro
ESP001826,19.28,12.46,7.98,6.13,,5.4,8.83,12.0,7.84,11.51,4.91,,3.51,2.1,1.14,2.18,11,68.0,0.81,236,2.42,0.458,0.597,120.0,415.4,15.34,38.66,metalico
ESP001827,17.95,11.04,6.14,4.56,3.24,4.5,8.99,11.0,6.22,10.76,4.79,4.43,3.0,1.69,0.91,2.11,11,47.0,1.03,165,2.92,0.501,0.599,86.0,248.0,13.63,33.4,marron
ESP001828,13.9,8.59,6.47,5.29,3.51,4.39,6.6,10.0,5.18,8.18,4.03,3.45,2.27,1.88,0.84,1.5,8,55.0,1.06,87,2.15,0.475,0.588,70.1,197.4,10.75,27.97,negro
ESP001829,11.37,6.87,6.47,5.2,3.61,,4.98,8.0,4.31,7.19,3.45,3.1,1.79,1.85,0.89,1.12,10,34.0,0.59,73,1.76,,,57.4,141.2,9.21,24.89,rojizo
ESP001830,13.97,8.93,7.6,6.2,4.17,4.25,6.64,8.0,6.31,8.97,4.31,3.9,2.41,2.16,0.98,1.9,9,42.0,0.81,107,1.84,0.475,0.642,82.8,225.6,11.69,30.98,metalico
ESP001831,19.48,12.16,7.77,6.14,4.35,5.9,8.63,12.0,7.39,11.15,4.89,4.34,3.07,1.95,1.2,1.8,11,58.0,1.08,195,2.51,0.443,0.572,118.1,446.5,,38.27,metalico
ESP001832,19.98,12.59,8.32,6.83,4.4,5.8,8.79,11.0,7.53,11.9,5.46,4.81,3.33,2.25,1.11,2.03,10,57.0,0.74,243,2.4,0.44,0.596,129.7,482.1,15.65,39.62,marron
ESP001833,12.79,8.23,6.55,5.48,4.06,3.39,5.89,10.0,5.0,8.43,3.8,3.14,2.39,1.92,0.94,1.61,9,52.0,0.89,77,1.95,0.461,0.659,65.3,142.0,11.03,28.61,rojizo
ESP001834,11.13,6.94,4.9,3.78,2.34,3.74,4.66,10.0,4.29,6.61,3.05,3.11,1.74,1.44,0.74,1.03,10,,0.74,13,2.27,0.419,0.594,42.5,102.0,8.79,22.48,negro
ESP001835,10.28,6.3,5.51,4.13,3.03,3.03,6.1,9.0,4.69,7.89,3.66,3.05,2.24,1.5,0.86,1.5,8,26.0,0.67,52,1.87,0.593,0.768,44.2,85.8,9.6,24.71,rojizo
ESP001836,13.49,8.29,5.57,4.21,3.17,3.6,5.63,8.0,4.56,7.12,,2.93,2.05,1.56,0.69,1.16,10,36.0,0.54,59,2.42,0.417,0.528,58.6,135.3,10.38,26.33,metalico
ESP001837,,12.13,8.16,6.48,4.57,5.98,9.28,10.0,7.86,11.7,5.48,4.87,3.15,2.23,1.04,1.78,10,64.0,0.95,194,2.34,0.485,0.612,121.8,466.7,14.95,38.06,metalico
ESP001838,10.8,6.72,5.08,4.2,2.62,3.31,5.47,8.0,4.96,7.85,3.74,3.39,2.1,1.37,0.69,1.14,8,46.0,0.49,55,2.13,0.506,0.727,42.8,90.8,9.49,24.06,marron
ESP001839,20.01,12.56,7.85,6.45,4.24,5.65,10.6,11.0,7.67,12.11,5.46,4.85,3.46,2.24,1.02,2.25,10,72.0,1.25,244,2.55,0.53,0.605,122.5,443.7,16.31,40.47,metalico
ESP001840,12.7,7.74,6.67,5.12,,4.17,5.71,8.0,5.35,7.51,3.74,3.11,2.13,1.84,0.86,1.35,8,55.0,0.74,78,1.9,0.45,,66.1,176.6,10.13,26.93,negro
ESP001841,11.12,6.83,5.46,4.4,2.88,3.72,4.8,8.0,4.96,7.54,3.56,2.88,1.93,1.59,0.77,0.96,10,23.0,0.35,51,2.04,0.432,0.678,47.4,112.9,9.4,24.26,rojizo
ESP001842,9.26,5.25,4.78,3.83,2.46,,5.17,8.0,4.21,7.28,3.41,2.86,2.1,1.29,0.63,1.01,8,39.0,0.55,22,1.94,0.558,0.786,34.5,81.4,8.65,22.08,rojizo
ESP001843,11.19,6.5,5.68,4.82,,3.96,4.12,9.0,5.74,7.74,3.86,,2.24,1.52,0.76,1.29,8,,0.72,83,1.97,0.368,0.692,49.6,125.8,8.8,23.28,marron
ESP001844,,15.14,9.16,7.25,5.06,6.94,10.26,12.0,9.22,13.43,6.08,5.87,3.97,2.42,1.23,2.38,9,91.0,1.05,287,2.58,0.434,0.569,168.8,750.8,19.1,47.36,metalico
ESP001845,21.13,13.14,7.86,6.54,4.26,5.95,9.76,10.0,7.82,11.64,5.38,4.57,3.4,2.22,1.02,2.07,10,61.0,1.25,258,2.69,0.462,0.551,129.5,494.1,16.29,40.44,metalico
